"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_DMT_1200_Dementor.d:56","Wir wussten, dass du kommen wirst!","Věděli jsme, že přijdeš!","","","DIA_BridgeDementor_19_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1200_Dementor.d:57","Mein Meister wird triumphieren und die Herrschaft der Welt an sich reißen.","Můj Pán dosáhne vítězství a převezme vládu nad celým světem.","","","DIA_BridgeDementor_19_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1200_Dementor.d:58","Du törichter Narr, du hast nicht gewusst, mit wem du dich anlegst, und dafür werde ich dich hier und jetzt bestrafen!","Ty popletenej hlupáku! Nemáš ani tušení, komu ses postavil, a já tě zničím právě teď a právě tady!","","","DIA_BridgeDementor_19_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:21","Du schleimiger Wurm wagst es also tatsächlich, bis vor die Tore des Meisters zu treten.","Tak, ty slizký červe, opovážil ses přijít až před bránu samotného Pána!","","","DIA_Schwarzmagier_HELLO_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:22","Bist du hier der Drahtzieher?","To ty tady taháš za provázky?","","","DIA_Schwarzmagier_HELLO_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:23","Ich bin der Wächter der Hallen von Irdorath. Die mächtigste Quelle Beliars Macht auf Erden. Durch meine Hände fließt die göttliche Kraft des Meisters.","Jsem strážcem Irdorathských síní, mocného zdroje Beliarovy síly na zemi. Božská Pánova moc pulzuje nyní mýma rukama.","","","DIA_Schwarzmagier_HELLO_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:24","Nur ein Wort von mir und du wirst auf ewig dem Wahnsinn verfallen.","Stačí mi jediné slovo k tomu, abych tě uvrhl do věčného šílenství.","","","DIA_Schwarzmagier_HELLO_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:25","Verstehe. Noch so ein Unterhändler, den ich aus dem Weg räumen muss.","Aha. Hádám, že se budu muset zbavit dalšího prostředníka.","","","DIA_Schwarzmagier_HELLO_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:31","Bring mich zu deinem Meister.","Zaveď mě ke svému pánovi.","","","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_meister","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:32","Wieviel von eurer Sorte muß ich denn noch töten?","Kolik tobě podobných budu ještě muset zabít?","","","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_dmt","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:33","Was verbirgt sich dort hinter dem großen Tor?","Co je tam za tím velkým portálem?","","","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_hinterTor","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:34","Wer ist dein Meister?","Kdo je tvůj pán?","","","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_wer","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:38","Du warst einmal ein Anhänger des Schläfers.","Býval jsi Spáčovým následovníkem.","","","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_schlaefer","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:44","Wer ist dein Meister?","Kdo je tvůj pán?","","","DIA_Schwarzmagier_HELLO_wer_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:45","Er ist ein Wanderer zwischen den Welten. Seine göttliche Weisheit erleuchtet uns.","Je to poutník mezi světy. Jeho božská moudrost nám přináší poznání.","","","DIA_Schwarzmagier_HELLO_wer_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:46","Er ist der Erwählte Beliars, das Reich von den elenden Innos-Anhängern zu befreien.","Je Beliarovým vyvoleným, který zemi zbaví bídných Innosových následovníků.","","","DIA_Schwarzmagier_HELLO_wer_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:47","Er bringt allen den Tod, die an seiner Herrlichkeit zweifeln.","Všem, kteří pochybují o jeho velkoleposti, přináší smrt.","","","DIA_Schwarzmagier_HELLO_wer_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:48","Kommt mir bekannt vor.","To zní povědomě.","","","DIA_Schwarzmagier_HELLO_wer_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:53","Was verbirgt sich dort hinter dem großen Tor?","Co je tam za tím velkým portálem?","","","DIA_Schwarzmagier_HELLO_hinterTor_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:54","(lacht) Die Gemächer meines Herren bleiben unerreichbar für dich. Ich werde dir keine Gelegenheit geben, das Tor zu öffnen.","(smích) Komnaty mého pána ti zůstanou zapovězeny. K otevření té brány ti neposkytnu žádnou příležitost.","","","DIA_Schwarzmagier_HELLO_hinterTor_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:59","Du warst einmal ein Anhänger des Schläfers.","Býval jsi Spáčovým následovníkem.","","","DIA_Schwarzmagier_HELLO_schlaefer_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:60","Das ist graue Vergangenheit. Der Meister hat uns die Augen geöffnet. Jetzt wird uns niemand mehr aufhalten.","To už je dávno. Pán nám otevřel oči. Teď už nás nikdo nezastaví.","","","DIA_Schwarzmagier_HELLO_schlaefer_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:61","Der Meister hat uns den einzig gangbaren Weg gezeigt, mit euch Ungläubigen fertig zu werden.","Pán nám ukázal jedinou možnou cestu, jak se vypořádat s vámi nevěřícími.","","","DIA_Schwarzmagier_HELLO_schlaefer_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:69","Wie viel von eurer Sorte muss ich denn noch töten?","Kolik tobě podobných budu ještě muset zabít?","","","DIA_Schwarzmagier_HELLO_dmt_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:70","Der unsrigen sind viele. Du hast ja keine Ahnung, wie zahlreich wir schon auf diese Zeit der Befreiung warten.","Je nás hodně. Nemáš ani ponětí, kolik je těch, co čekali na tuto chvíli svobody.","","","DIA_Schwarzmagier_HELLO_dmt_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:71","Ein Strom von Klageschreien wird sich über das Land ergießen, wenn wir in die Welt hinausziehen.","Bědný křik se šíří celou zemí, když vstupujeme do tohoto světa.","","","DIA_Schwarzmagier_HELLO_dmt_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:72","Um die Welt von den Barbaren, die sich selbst die Hüter des Feuers nennen, zu befreien. Unsere Zusammenkunft hier im Tempel wird nicht von großer Dauer sein.","Osvobodíme svět od barbarů, co si říkají strážci ohně. Naše shromáždění tady v chrámu už nebude trvat dlouho.","","","DIA_Schwarzmagier_HELLO_dmt_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:73","Ja.","Ano.","","","DIA_Schwarzmagier_HELLO_dmt_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:83","(bedrohlich) Schluss mit dem Gefasel! Ich werde dich vernichten.","(teatrálně) Dost už těch blábolů! Zničím tě.","","","DIA_Schwarzmagier_HELLO_meister_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:84","Dein Augenlicht wird schwinden und dein Geist wird in der Dunkelheit vergehen.","Tvůj zrak tě opustí a tvá duše zmizí v temnotách.","","","DIA_Schwarzmagier_HELLO_meister_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:88","(zu sich) Ohne das Seelenruf-Amulett hätte ich jetzt ein ernstes Problem.","(pro sebe) Bez toho amuletu na vyvolávání duší to teď asi bude trochu problém.","","","DIA_Schwarzmagier_HELLO_meister_15_02","",""
