"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:327"," Für den König!","Za krále!","","","SVM_1_MILGreetings","",""
"Scripts/Content/Story/SVM.d:328"," Für Innos!","Za Innose!","","","SVM_1_PALGreetings","",""
"Scripts/Content/Story/SVM.d:329"," So ein Mistwetter!","Zatracená slota!","","","SVM_1_Weather","",""
"Scripts/Content/Story/SVM.d:331"," Krieg ich dich DOCH noch!","Tak jsem tě přece jen dostal!","","","SVM_1_IGetYouStill","",""
"Scripts/Content/Story/SVM.d:332"," Jetzt bist du dran!","Proto jsi tady!","","","SVM_1_DieEnemy","",""
"Scripts/Content/Story/SVM.d:333"," Da ist wieder eins von diesen Drecksviechern!","Támhle je další z těch neřádů!","","","SVM_1_DieMonster","",""
"Scripts/Content/Story/SVM.d:334"," Na warte, du dreckiger Dieb!","Mizernej zloději! Jen počkej!","","","SVM_1_DirtyThief","",""
"Scripts/Content/Story/SVM.d:335"," Finger weg da!","Dej ty svý špinavý pracky pryč!","","","SVM_1_HandsOff","",""
"Scripts/Content/Story/SVM.d:336"," Der Mistkerl schlachtet unsere Schafe!","Ten kýbl hnusu vraždí naše ovce!","","","SVM_1_SheepKiller","",""
"Scripts/Content/Story/SVM.d:337"," Das verdammte Mistvieh frisst unsere Schafe!","Ta mizerná zrůda se cpe našima ovcema!","","","SVM_1_SheepKillerMonster","",""
"Scripts/Content/Story/SVM.d:338"," Mörder!","Vrahu!","","","SVM_1_YouMurderer","",""
"Scripts/Content/Story/SVM.d:339"," Hier kommen keine Viecher rein!","Sem žádný bestie nesměj!","","","SVM_1_DieStupidBeast","",""
"Scripts/Content/Story/SVM.d:340"," Na warte, du Mistkerl!","Jen počkej, ty zkurvysynu!","","","SVM_1_YouDareHitMe","",""
"Scripts/Content/Story/SVM.d:341"," Du hast es so gewollt!","Řekl sis o to!","","","SVM_1_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:342"," Dann muss ich dich eben rausprügeln!","Tak to tě odsud budu muset VYKOPAT!","","","SVM_1_ThenIBeatYouOutOfHere","",""
"Scripts/Content/Story/SVM.d:343"," Was hattest DU denn da drin zu suchen, he!?","Tak co jsi tam teda dělal, no?!","","","SVM_1_WhatDidYouDoInThere","",""
"Scripts/Content/Story/SVM.d:344"," Wollt ihr wohl damit aufhören!?","Tak přestaneš s tím už!","","","SVM_1_WillYouStopFighting","",""
"Scripts/Content/Story/SVM.d:346"," Stirb, Mistkerl!","Chcípni, grázle!","","","SVM_1_KillEnemy","",""
"Scripts/Content/Story/SVM.d:347"," Das war's für dich, Penner.","Trochu velký sousto, co, ty břídile!","","","SVM_1_EnemyKilled","",""
"Scripts/Content/Story/SVM.d:348"," Ein Mistvieh weniger!","O jednu zrůdu míň!","","","SVM_1_MonsterKilled","",""
"Scripts/Content/Story/SVM.d:349"," Versuch nie wieder, mich zu bestehlen!","Už se mě nikdy nepokoušej okrást!","","","SVM_1_ThiefDown","",""
"Scripts/Content/Story/SVM.d:350"," Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!","Už nikdy těma svýma prackama nesahej na věci, co ti neříkaj pane!","","","SVM_1_rumfummlerDown","",""
"Scripts/Content/Story/SVM.d:351"," Tu das nie wieder! Das sind unsere Schafe!","Tohle už nikdy nedělej! To jsou naše ovce!","","","SVM_1_SheepAttackerDown","",""
