"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:36","Ah. Gut, daß du kommst.","Ah. Gut, daß du kommst.","","","DIA_Lee_Add_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:37","Was gibt's?","Was gibt's?","","","DIA_Lee_Add_15_06","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:38","Das hier hab ich in der alten Kapelle gefunden.","Das hier hab ich in der alten Kapelle gefunden.","","","DIA_Lee_Add_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:40","Es ist eine magische Rune. Ich glaube, sie teleportiert dich direkt hierhin zum Hof.","Es ist eine magische Rune. Ich glaube, sie teleportiert dich direkt hierhin zum Hof.","","","DIA_Lee_Add_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:41","Ich dachte, du könntest sie vielleicht gebrauchen.","Ich dachte, du könntest sie vielleicht gebrauchen.","","","DIA_Lee_Add_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:82","Bist du gekommen, um das Geld für Onar zu bringen?","Bist du gekommen, um das Geld für Onar zu bringen?","","","DIA_Lee_PMSchulden_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:86","Ich hatte dir doch gesagt, du sollst hier keine Dummheiten mehr machen.","Ich hatte dir doch gesagt, du sollst hier keine Dummheiten mehr machen.","","","DIA_Lee_PMSchulden_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:87","Onar hat mitbekommen, dass du mittlerweile noch mehr auf dem Kerbholz hast.","Onar hat mitbekommen, dass du mittlerweile noch mehr auf dem Kerbholz hast.","","","DIA_Lee_PMSchulden_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:90","Dementsprechend will er jetzt mehr Geld.","Dementsprechend will er jetzt mehr Geld.","","","DIA_Lee_PMSchulden_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:91","Wieviel?","Wieviel?","","","DIA_Lee_PMAdd_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:105","Ich hatte dich für klüger gehalten.","Ich hatte dich für klüger gehalten.","","","DIA_Lee_PMSchulden_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:110","Dann habe ich gute Nachrichten für dich.","Dann habe ich gute Nachrichten für dich.","","","DIA_Lee_PMSchulden_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:114","Plötzlich gibt es niemanden mehr, der den Mord gesehen hat.","Plötzlich gibt es niemanden mehr, der den Mord gesehen hat.","","","DIA_Lee_PMSchulden_04_06","",""
