"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:22","Adanos möge dich schützen.","May Adanos protect you.","","","DIA_Addon_Saturas_ADW_EXIT_14_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:99","Adanos sei Dank. Da bist du ja endlich. Wir dachten schon, du tauchst gar nicht mehr auf.","Adanos be thanked. You are finally here. We thought you would not show up again.","","","DIA_Addon_Saturas_ADWStart_14_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:100","(irritiert) Was? Wieso seid ihr schon HIER?","(confused) What? How are you already HERE?","","","DIA_Addon_Saturas_ADWStart_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:101","Du bist durch das Portal gegangen und wir folgten dir. Es dauerte nicht lang, da sind wir hier angekommen.","You went through the portal and we followed you. It did not take long before we arrived here.","","","DIA_Addon_Saturas_ADWStart_14_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:102","Doch du warst nicht da. Wir sind schon einige Tage hier.","However, you were not there. We have been here for several days.","","","DIA_Addon_Saturas_ADWStart_14_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:103","(überrascht) EINIGE TAGE? Wie kann das sein?","(surprised) SEVERAL DAYS? How can that be?","","","DIA_Addon_Saturas_ADWStart_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:104","Nachdem wir dich hier nirgendwo finden konnten, hat Nefarius versucht zu ergründen, was schief gelaufen sein könnte. Er wirkte bisher ziemlich ratlos.","After we could not find you anywhere, Nefarius sought to ascertain what might have gone wrong. He seemed to be thoroughly baffled until now.","","False","DIA_Addon_Saturas_ADWStart_14_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:105","Naja. Du bist ja jetzt hier und kannst mit deiner Arbeit beginnen.","Well. Now you are here and can begin your work.","","","DIA_Addon_Saturas_ADWStart_14_06","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:111","Was ist in der Zwischenzeit passiert?","What happened in the meantime?","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_was","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:116","Was ist in der Zwischenzeit passiert?","What happened in the meantime?","","","DIA_Addon_Saturas_ADWStart_was_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:117","Wir haben eine Menge neuer Erkenntnisse gesammelt.","We have collected many new insights.","","","DIA_Addon_Saturas_ADWStart_was_14_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:118","Die Erdbeben scheinen hier tatsächlich STÄRKER zu werden. Wir sind nicht mehr weit von ihrem Zentrum entfernt.","The earthquakes do indeed appear to be STRONGER here. We are not very far from their center now.","","","DIA_Addon_Saturas_ADWStart_was_14_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:119","Die Erbauer dieser alten Bauwerke hatten damals hier eine Stadt errichtet, so viel können wir schon mal sagen.","The builders of these old structures erected a city here in their day, so much we can already say.","","","DIA_Addon_Saturas_ADWStart_was_14_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:120","Doch aus irgendeinem Grund ist ihre Kultur untergegangen.","However, for some reason their culture came to an end.","","","DIA_Addon_Saturas_ADWStart_was_14_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:121","Bisher können wir allerdings nur Vermutungen anstellen, warum.","But so far, we can only speculate as to why.","","","DIA_Addon_Saturas_ADWStart_was_14_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:123","Habt ihr schon eine Spur der vermissten Leute ausgemacht?","Have you found a trace of the missing people?","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_missingPeople","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:124","Was ist mit Raven?","What about Raven?","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_Raven","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:129","Was ist mit Raven?","What about Raven?","","","DIA_Addon_Saturas_ADWStart_Raven_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:130","In Ravens Brief war von einem Tempel die Rede, und dass er versucht, hineinzugelangen.","In his letter, Raven spoke of a temple and that he was trying to get inside.","","","DIA_Addon_Saturas_ADWStart_Raven_14_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:131","Wir sind einstimmig der Meinung, dass es sich dabei um einen Tempel Adanos' handelt, den Raven zu entweihen versucht.","We are unanimously of the opinion that it is a temple of Adanos that Raven seeks to desecrate.","","","DIA_Addon_Saturas_ADWStart_Raven_14_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:132","Die Erdbeben sind offenkundig das Resultat von unheiligen Beschwörungen, die ständig gegen einen mächtigen Zauber prallen.","The earthquakes are obviously the result of unholy incantations which keep colliding with a powerful spell.","","","DIA_Addon_Saturas_ADWStart_Raven_14_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:133","Die Tore des Tempels sind magisch verschlossen und genau dieser Zauber ist es, der die Steinwächter auferstehen lässt.","The gates of the temple are magically sealed, and this is the very magic that makes the stone sentinels arise.","","","DIA_Addon_Saturas_ADWStart_Raven_14_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:134","Der Tempel wehrt sich. Wir müssen Raven aufhalten, bevor er ins Allerheiligste eindringen kann.","The temple is defending itself. We must stop Raven before he can penetrate into the holy of holies.","","","DIA_Addon_Saturas_ADWStart_Raven_14_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:136","Wie geht's jetzt weiter?","What happens next?","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_wastun","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:137","Raven ist nur ein ehemaliger Erzbaron, kein Magier.","Raven is only a former ore baron, not a magician.","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_RavenOnlyBaron","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:138","Was will Raven in dem Tempel?","What does Raven want in the temple?","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_RavenAim","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:143","Was will Raven im Tempel?","What does Raven want in the temple?","","","DIA_Addon_Saturas_ADWStart_RavenAim_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:146","Wir wissen nur, daß es sich um ein mächtiges Artefakt handelt, daß irgendwie mit Adanos und Beliar in Verbindung steht.","We only know that it has to do with a powerful artifact that is somehow connected to Adanos and Beliar.","","","DIA_Addon_Bodo_14_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:147","(grimmig) Wir können wohl davon ausgehen, daß er damit nichts Gutes im Schilde führt...","(grimly) We can certainly assume that he is not up to anything good...","","","DIA_Addon_Bodo_14_02","",""
