"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:43","Willkommen beim Kloster Innos', Fremder.","Welcome to the monastery of Innos, stranger.","","","DIA_Pedro_WELCOME_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:44","Ich bin Bruder Pedro, ein demütiger Diener Innos' und Wächter der Pforte des heiligen Klosters.","I am Brother Pedro, a humble servant of Innos and the warder of the gate to the holy monastery.","","","DIA_Pedro_WELCOME_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:45","Was ist dein Begehr?","What is it that you require?","","","DIA_Pedro_WELCOME_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:57","Iß mal 'ne Wurst, Bruder!","Here, have a sausage, Brother!","","","DIA_Pedro_Wurst.description","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:73","Iß mal 'ne Wurst, Bruder!","Here, have a sausage, Brother!","","","DIA_Pedro_Wurst_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:74","Gut, dass du an mich gedacht hast. Meistens werde ich vergessen.","Good of you to think of me. Usually, I am forgotten.","","","DIA_Pedro_Wurst_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:75","Du kannst mir direkt mal noch eine Wurst hier lassen.","You could let me have another sausage.","","","DIA_Pedro_Wurst_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:76","Vergiss es, dann habe ich nicht mehr genug.","Forget it, I won't have enough then.","","","DIA_Pedro_Wurst_15_03","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:77","Hey, eine Wurst - das merkt kein Schwein. Du kriegst auch was dafür - ich weiß, wo ein paar Feuernesseln wachsen.","Hey, one sausage - nobody will notice that. You'll get something for it - I know a place where some fire nettles grow.","","","DIA_Pedro_Wurst_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:78","Wenn du die Neoras bringst, kriegst du bestimmt den Schlüssel zur Bibliothek. Wie sieht's aus?","If you take them to Neoras, he'll surely give you the key to the library. What do you say?","","","DIA_Pedro_Wurst_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:93","Okay, nimm noch eine Wurst.","OK, have another sausage.","","","DIA_Pedro_Wurst.DIA_Pedro_Wurst_JA","Info_AddChoice",""
