"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/System/Menu/Menu_Defines.d:64","Taste ENTF zum Löschen und RETURN zum definieren","press DEL key to empty slot and RETURN to define","","False","CTRL_KEYDEF","",""
"Scripts/System/Menu/Menu_Defines.d:65","Gewünschte Taste betätigen.","Please press the desired key for this action.","","False","CTRL_KEYDEF_INFO","",""
"Scripts/System/Menu/Menu_Defines.d:66","nein|ja","no|yes","","False","MENU_NO_YES","",""
"Scripts/System/Menu/Menu_Defines.d:67","aus|an","off|on","","False","MENU_OFF_ON","",""
"Scripts/System/Menu/Menu_Defines.d:68","Zurück","Back","","False","MENU_BACK","",""
"Scripts/System/Menu/Menu_Log.d:42","Aktuelle\nMissionen","Current\nQuests","","False","MENU_ITEM_SEL_MISSIONS_ACT.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:56","Erfüllte\nMissionen","Completed\nMissions","","False","MENU_ITEM_SEL_MISSIONS_OLD.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:72","Gescheiterte\nMissionen","Failed\nMissions","","False","MENU_ITEM_SEL_MISSIONS_FAILED.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:88","Allgemeine\nInfos","General\nInformation","","False","MENU_ITEM_SEL_LOG.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:109","Act Missions","Act Missions","","False","MENU_ITEM_LIST_MISSIONS_ACT.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:129","Old Missions","Old Missions","","False","MENU_ITEM_LIST_MISSIONS_FAILED.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:149","Old Missions","Old Missions","","False","MENU_ITEM_LIST_MISSIONS_OLD.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:169","Log","Log","","False","MENU_ITEM_LIST_LOG.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:192","no content","no content","","False","MENU_ITEM_CONTENT_VIEWER.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:211","Tag","Day:","","","MENU_ITEM_DAY_TITLE.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:220","Zeit:","Time:","","False","MENU_ITEM_TIME_TITLE.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:38","Gothic II starten","New Game","","False","MENUITEM_MAIN_NEWGAME.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:39","Ein neues Abenteuer beginnen.","Start a new adventure","","False","MENUITEM_MAIN_NEWGAME.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:60","Spiel laden","Load Game","","False","MENUITEM_MAIN_SAVEGAME_LOAD.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:61","Einen gespeicherten Spielstand laden.","Continue a saved game","","False","MENUITEM_MAIN_SAVEGAME_LOAD.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:76","Spiel speichern","Save Game","","False","MENUITEM_MAIN_SAVEGAME_SAVE.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:77","Den aktuellen Spielstand speichern.","Save the current game","","False","MENUITEM_MAIN_SAVEGAME_SAVE.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:98","Weiterspielen","Resume","","False","MENUITEM_MAIN_RESUME.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:99","Aktuelles Spiel fortführen.","Resume the current game","","False","MENUITEM_MAIN_RESUME.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:118","Einstellungen","Options","","False","MENUITEM_MAIN_OPTIONS.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:119","Spiel, Video, Audio und Tastatur einstellen","Game, video, audio settings","","False","MENUITEM_MAIN_OPTIONS.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:135","Intro spielen","Play Intro","","False","MENUITEM_MAIN_INTRO.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:136","Introsequenz noch einmal abspielen.","Play introduction sequence","","False","MENUITEM_MAIN_INTRO.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:150","Credits","Credits","","False","MENUITEM_MAIN_CREDITS.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:151","Credits","Credits","","False","MENUITEM_MAIN_CREDITS.text[1]","",""
"Scripts/System/Menu/Menu_Main.d:171","Gothic II beenden","Quit Game","","False","MENUITEM_MAIN_EXIT.text[0]","",""
"Scripts/System/Menu/Menu_Main.d:172","Die Welt von Gothic II verlassen.","Leave the world of Gothic II","","False","MENUITEM_MAIN_EXIT.text[1]","",""
"Scripts/System/Menu/Menu_Misc.d:23","Gothic II verlassen?","Do you really want to Quit?","","False","MENUITEM_LEAVE_GAME_HEADLINE.text[0]","",""
"Scripts/System/Menu/Menu_Misc.d:36","Ja","Yes.","","False","MENUITEM_LEAVE_GAME_YES.text[0]","",""
"Scripts/System/Menu/Menu_Misc.d:37","Ja, ich möchte Gothic II verlassen.","Yes, I'll be back!","","False","MENUITEM_LEAVE_GAME_YES.text[1]","",""
"Scripts/System/Menu/Menu_Misc.d:52","Nein","No.","","False","MENUITEM_LEAVE_GAME_NO.text[0]","",""
"Scripts/System/Menu/Menu_Misc.d:53","Nein, ich möchte weiterspielen.","No, I want to resume playing.","","False","MENUITEM_LEAVE_GAME_NO.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:34","EINSTELLUNGEN","OPTIONS","","False","MENUITEM_OPT_HEADING.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:47","Spiel","Game Settings","","False","MENUITEM_OPT_GAME.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:48","Diverse Spieleinstellungen vornehmen.","Configure the gameplay","","False","MENUITEM_OPT_GAME.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:64","Grafik","Visual Settings","","False","MENUITEM_OPT_GRAPHICS.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:65","Sichtweite, Details und Effekte.","Range of sight, details and effects.","","False","MENUITEM_OPT_GRAPHICS.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:81","Video","Video Settings","","False","MENUITEM_OPT_VIDEO.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:82","Grafikkarte, Auflösung und Helligkeit.","Graphic adapter, resolution, brightness and contrast","","False","MENUITEM_OPT_VIDEO.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:98","Audio","Audio Settings","","False","MENUITEM_OPT_AUDIO.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:99","Musik, Sprache und Soundeffekte.","Music, speech and sound effects","","False","MENUITEM_OPT_AUDIO.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:116","Steuerung","Controls","","False","MENUITEM_OPT_CONTROLS.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:117","Konfiguration der Tastenbelegung.","Configure keyboard and mouse","","False","MENUITEM_OPT_CONTROLS.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:133","Erweitert","Extended configuration","","False","MENUITEM_OPT_EXT.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:134","Weitere Optionen","Some further settings","","False","MENUITEM_OPT_EXT.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:153","Performance/Qualität","Performance/Quality","","False","MENUITEM_PERF.text[0]","",""
"Scripts/System/Menu/Menu_Opt.d:154","Optimierung von Performance und Qualität.","Optimize your performance and quality","","False","MENUITEM_PERF.text[1]","",""
"Scripts/System/Menu/Menu_Opt.d:170","benutzerdefiniert#hohe Performance|mittlere Qualität|hohe Qualität","Custom#High performance|Medium quality|High quality","","False","MENUITEM_PERF_CHOICE.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:46","AUDIO EINSTELLUNGEN","AUDIO SETTINGS","","False","MENUITEM_AUDIO_HEADLINE.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:64","Sound-Lautst.","Sfx volume","","False","MENUITEM_AUDIO_SFXVOL.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:65","Lautstärke von Soundeffekten und Sprachausgabe.","Sound effects and speech volume","","False","MENUITEM_AUDIO_SFXVOL.text[1]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:100","Musik-Lautst.","Music volume","","False","MENUITEM_AUDIO_MUSICVOL.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:101","Läutstärke der Hintergrundmusik.","Background music volume","","False","MENUITEM_AUDIO_MUSICVOL.text[1]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:136","Musik","Music on/off","","False","MENUITEM_AUDIO_MUSIC.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:137","Hintergrundmusik an- bzw. ausschalten.","Toggle background music on/off.","","False","MENUITEM_AUDIO_MUSIC.text[1]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:179","Soundprovider","Sound provider","","False","MENUITEM_AUDIO_PROVIDER.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:180","Eine Änderung wirkt sich erst beim Neustart aus!","You need to restart to make changes take effect.","","False","MENUITEM_AUDIO_PROVIDER.text[1]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:212","Lautsprecher","Speakers","","False","MENUITEM_AUDIO_SPEEKER.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:213","","Output device type","","False","MENUITEM_AUDIO_SPEEKER.text[1]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:229","2 Lautsprecher|Kopfhörer|Surround|4 Lautsprecher|5.1 Lautsprecher|7.1 Lautsprecher","2 speakers|headphones|surround|4 speakers|5.1 speakers|7.1 speakers","","False","MENUITEM_AUDIO_SPEEKER_CHOICE.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:245","Hall-Effekt","Env. reverb","","False","MENUITEM_AUDIO_REVERB.text[0]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:246","Sollen Halleffekte in Höhlen aktiviert werden ?","Environmental reverb effects in caves, etc.","","False","MENUITEM_AUDIO_REVERB.text[1]","",""
"Scripts/System/Menu/Menu_Opt_Audio.d:278","Sprache-Hall","Speech reverb","","False","MENUITEM_AUDIO_REVERB_SPEECH.text[0]","",""
