"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Text.d:5","Kiste","Crate","","","MOBNAME_CRATE","",""
"Scripts/Content/Story/Text.d:6","Truhe","Chest","","","MOBNAME_CHEST","",""
"Scripts/Content/Story/Text.d:7","Bett","Bed","","","MOBNAME_BED","",""
"Scripts/Content/Story/Text.d:8","Tür","Door","","","MOBNAME_DOOR","",""
"Scripts/Content/Story/Text.d:15","Amboss","Anvil","","","MOBNAME_ANVIL","",""
"Scripts/Content/Story/Text.d:16","Wasser-Eimer","Water Bucket","","","MOBNAME_BUCKET","",""
"Scripts/Content/Story/Text.d:17","Schmiede-Feuer","Forge Fire","","","MOBNAME_FORGE","",""
"Scripts/Content/Story/Text.d:18","Schleifstein","Whetstone","","","MOBNAME_GRINDSTONE","",""
"Scripts/Content/Story/Text.d:19","Winde","Winch","","","MOBNAME_WHEEL","",""
"Scripts/Content/Story/Text.d:20","Alchemietisch","Alchemist's Bench","","","MOBNAME_LAB","",""
"Scripts/Content/Story/Text.d:21","Buchständer","Bookstand","","","MOBNAME_BOOKSTAND","",""
"Scripts/Content/Story/Text.d:22","Buchkommode","Bookstand","","","MOBNAME_BOOKSBOARD","",""
"Scripts/Content/Story/Text.d:24","Kessel","Cauldron","","","MOBNAME_CAULDRON","",""
"Scripts/Content/Story/Text.d:27","Pfanne","Pan","","","MOBNAME_PAN","",""
"Scripts/Content/Story/Text.d:29","Wasserpfeife","Water Pipe","","","MOBNAME_WATERPIPE","",""
"Scripts/Content/Story/Text.d:30","Schalter","Switch","","","MOBNAME_SWITCH","",""
"Scripts/Content/Story/Text.d:31","Erzklumpen","Lump of Ore","","","MOBNAME_ORE","",""
"Scripts/Content/Story/Text.d:34","Herd","Stove","","","MOBNAME_STOVE","",""
"Scripts/Content/Story/Text.d:35","Innos Statue","Statue of Innos","","","MOBNAME_INNOS","",""
"Scripts/Content/Story/Text.d:36","Runentisch","Rune Table","","","MOBNAME_RUNEMAKER","",""
"Scripts/Content/Story/Text.d:37","Baumsäge","Tree Saw","","","MOBNAME_SAW","",""
"Scripts/Content/Story/Text.d:38","Sessel","Armchair","","","MOBNAME_ARMCHAIR","",""
"Scripts/Content/Story/Text.d:39","Lampe","Lamp","","","MOBNAME_LIBRARYLEVER","",""
"Scripts/Content/Story/Text.d:41","Bibliothek","Library","","","MOBNAME_BIBLIOTHEK","",""
