"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:33","Da sind wir.","Allá vamos.","","","DIA_PC_Thief_DI_Hallo.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:46","Da sind wir.","Allá vamos.","","","DIA_PC_Thief_DI_Hallo_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:47","Diese Insel ist doch nicht so weit von Khorinis entfernt, wie ich angenommen hatte.","Esta isla no está tan lejos del Khorinis como creía.","","","DIA_PC_Thief_DI_Hallo_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:48","Mir ist sie nicht bekannt gewesen. Aber jetzt wird mir natürlich einiges klar.","No lo sabía. Pero ahora, por supuesto, hay unas cuantas cosas que se están aclarando.","","","DIA_PC_Thief_DI_Hallo_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:49","Ich hatte mich schon immer gefragt, wie die Orks so schnell ihren Nachschub organisieren konnten.","Siempre me había preguntado cómo eran capaces los orcos de abastecerse tan deprisa.","","","DIA_PC_Thief_DI_Hallo_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:50","Mit diesem Vorposten ist es ja auch kein Kunststück.","Con este puesto avanzado, es un juego de niños.","","","DIA_PC_Thief_DI_Hallo_11_04","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:51","Wenn du ins Innere der Insel vordringst, wirst du wahrscheinlich auf die eine oder andere Falle stoßen.","En tu camino hacia el interior de la isla, seguramente te encuentres con un par de trampas.","","","DIA_PC_Thief_DI_Hallo_11_05","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:52","Wenn du irgendwo nicht weiter weißt, dann komm zu mir. Vielleicht kann dir meine Erfahrung weiter helfen.","Si crees que te quedas atascado en algún punto, ven a verme. Puede que mi experiencia te sirva de ayuda.","","","DIA_PC_Thief_DI_Hallo_11_06","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:65","Ich brauche deinen Rat.","Necesito consejo.","","","DIA_PC_Thief_DI_RAT.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:81","Ich brauche deinen Rat.","Necesito consejo.","","","DIA_PC_Thief_DI_RAT_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:86","Ein Orkischer Oberst hat dort oben sein Hauptquartier. Ich komme von dort aus aber nicht weiter ins Innere der Insel.","Un coronel orco tiene su cuartel general allí arriba. Desde allí no puedo avanzar más hacia el interior.","","","DIA_PC_Thief_DI_RAT_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Thief_DI.d:87","Orks sind clevere Burschen. Sie werden oft unterschätzt. Ich vermute, sie haben irgendeinen Geheimgang. Such die Wände ab nach geheimen Schaltern.","Los orcos son criaturas astutas. A menudo se las subestima, pero seguro que tienen algún tipo de pasadizo secreto. Busca interruptores en los muros.","","","DIA_PC_Thief_DI_RAT_11_02","",""
