"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:22","Adanos möge dich schützen.","Qu'Adanos vous protège.","","","DIA_Addon_Saturas_ADW_EXIT_14_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:99","Adanos sei Dank. Da bist du ja endlich. Wir dachten schon, du tauchst gar nicht mehr auf.","Adanos soit loué. Vous voici enfin arrivé. Nous commencions à croire que vous ne reviendriez pas.","","","DIA_Addon_Saturas_ADWStart_14_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:100","(irritiert) Was? Wieso seid ihr schon HIER?","(irrité) Quoi ? Comment êtes-vous déjà arrivé ici ?","","","DIA_Addon_Saturas_ADWStart_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:101","Du bist durch das Portal gegangen und wir folgten dir. Es dauerte nicht lang, da sind wir hier angekommen.","Vous avez traversé le portail et nous vous avons suivi. Il ne nous a guère fallu longtemps pour arriver ici.","","","DIA_Addon_Saturas_ADWStart_14_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:102","Doch du warst nicht da. Wir sind schon einige Tage hier.","Toutefois, vous n'étiez pas là. Nous sommes ici depuis plusieurs jours déjà.","","","DIA_Addon_Saturas_ADWStart_14_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:103","(überrascht) EINIGE TAGE? Wie kann das sein?","(surpris) PLUSIEURS JOURS ? Comment est-ce possible ?","","","DIA_Addon_Saturas_ADWStart_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:104","Nachdem wir dich hier nirgendwo finden konnten, hat Nefarius versucht zu ergründen, was schief gelaufen sein könnte. Er wirkte bisher ziemlich ratlos.","Lorsque nous ne sommes pas parvenus à vous retrouver, Nefarius a cherché à déterminer ce qui avait pu se passer. Il semblait totalement perplexe, jusque maintenant.","","","DIA_Addon_Saturas_ADWStart_14_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:105","Naja. Du bist ja jetzt hier und kannst mit deiner Arbeit beginnen.","Bien. Maintenant, vous êtes arrivé et pouvez commencer votre travail.","","","DIA_Addon_Saturas_ADWStart_14_06","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:111","Was ist in der Zwischenzeit passiert?","Que s'est-il passé entre-temps ?","","","DIA_Addon_Saturas_ADWStart.DIA_Addon_Saturas_ADWStart_was","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_KDW_14000_Saturas_ADW.d:116","Was ist in der Zwischenzeit passiert?","Qu'est-il arrivé entre-temps ?","","","DIA_Addon_Saturas_ADWStart_was_15_00","",""
