"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:11","Die Prüfung des Feuers","L'Epreuve du feu","","","Bookstand_01_S1_1","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:12","So ein Novize nicht erwählt ist, mag es sein, das er trotzdem die Bereitschaft verspürt sich der Prüfung der Magie zu unterwerfen. Wenn er diesen Entschluß reiflich überlegt hat und er darauf besteht, ist es ihm gewährt, die Prüfung zu verlangen und kein Magier darf sie ihm verweigern. Doch nicht nur die Prüfung der Magie wird ihm auferlegt, sondern er soll durch das Feuer seine Erleuchtung finden. Wenn er vor dem hohen Rat darauf besteht, so soll ihm die PRÜFUNG DES FEUERS gewährt werden.","Bien qu'un novice puisse se croire prêt à affronter l'Epreuve de magie, ce n'est pas pour autant qu'il sera choisi. Cependant, s'il a bien réfléchi et s'il insiste, il a le droit de demander l'Epreuve et aucun magicien ne peut la lui refuser. Non seulement il devra réussir l'Epreuve de magie, mais il devra de plus trouver l'illumination par le feu. S'il insiste auprès du Haut Conseil, il sera soumis à l'EPREUVE DU FEU.","","","Bookstand_01_S1_2","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:13","In dieser Prüfung soll gleichermaßen die Klugheit, Stärke und das Geschick des Novizen gefordert werden. So soll er drei Prüfungen erfüllen, jede empfangen durch einen der Magier des hohen Rates, bevor er den Eid der Flamme schwört und den Bund mit dem Feuer eingehen kann. ","L’Epreuve doit être un défi de sagesse, de force et de dextérité pour le novice. Avant de prononcer le Serment du feu, il doit donc venir à bout de trois tests, chacun présenté par un magicien du Haut Conseil.","","True","Bookstand_01_S1_3","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:14","So ist es Innos Wille und so soll es geschehen. ","Telle est la volonté d'Innos et ainsi en sera-t-il.","","True","Bookstand_01_S1_4","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:15","Der hohe Rat","Le Haut Conseil","","","Bookstand_01_S1_5","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:69","...Ich hoffe, dass die Kuppel das Erz vor dem Zugriff Beliars zu schützen vermag. Der König ist einfältig genug zu glauben, dass wir die Kuppel zum Schutz vor Ausbrüchen errichten, doch solange wir mit diesen Ratschlagen unsere höheren Zeile erreichen, soll es uns recht sein. Ich hoffe, das uns genug Zeit bleibt uns auf den Kampf vorzubereiten. Sobald die Kuppel um das Minental erschaffen ist, werde ich mit all meiner mir zur Verfügung stehenden Macht versuchen in den bevorstehenden Kampf einzugreifen. ","... j'espère que le dôme pourra protéger le minerai de la menace de Béliar. Le roi est assez naïf pour croire que nous l'avons construit pour prévenir toute évasion. Enfin, tant que de telles ruses nous permettent d'atteindre nos objectifs... J'espère seulement qu'il nous reste assez de temps pour nous préparer au combat. Dès que le Dôme de la Vallée des mines sera terminé, j'userai de tout mon pouvoir pour intervenir au cours du combat.","","True","FINALDRAGONEQUIPMENT_S1_1","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:70","...ich habe, genau nach Anleitung einfach Innos geweihtes Wasser auf einen Runenrohling geträufelt und am Runentisch zusammengeführt. Der Runenstein ist zerstört, ich glaube, dieser Spruch ist wirklich nur dem Einen zugänglich.","… j'ai suivi les instructions et j'ai versé l'eau bénite d'Innos sur une pierre runique vierge sur une table runique. La pierre a été détruite. Je crois que ce sort n'est accessible qu'à l'Elu.","","","FINALDRAGONEQUIPMENT_S1_2","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:71","Die Heilige Aura Innos habe ich dem Klosterschtz übergeben. Sie wird von nun an, vom Klostervorsteher aufbewahrt, bis zu dem Tag, an dem sich der Eine offenbart.","J'ai laissé l'Aura sacrée d'Innos sous la protection du monastère. L'abbé en prendra soin jusqu'à ce que l'Elu se révèle.","","","FINALDRAGONEQUIPMENT_S1_3","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:72","Die Tränen Innos mögen in dem bevorstehenden Kampf eine Rolle spielen. Doch ist es wohl zu gefährlich sie offen aufzubewahren. Ich werde sie hier in der Bibliothek lassen.","Les Larmes d'Innos peuvent jouer un rôle pour le combat qui nous attend. Il est dangereux de les laisser à la vue de tous. Je vais les cacher dans la bibliothèque.","","","FINALDRAGONEQUIPMENT_S1_4","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:73","Um in den geheimen Ort zu gelangen muss man eine Teleportrune bauen. Dazu benötigst du einen Runenrohling und eine kleines Fläschchen geweihtes Wasser. Mit der erstellten Runen kannst du dich in den Raum teleporteiren.","Vous devez créer une rune de téléportation pour atteindre la pièce. Il vous faut une pierre runique vierge et une fiole d'eau bénite. Vous pourrez utiliser la rune pour vous téléporter","","","FINALDRAGONEQUIPMENT_S1_5","",""
