"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:36","Ah. Gut, daß du kommst.","Ah. Merci d'être venu.","","","DIA_Lee_Add_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:37","Was gibt's?","Quoi de neuf ?","","","DIA_Lee_Add_15_06","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:38","Das hier hab ich in der alten Kapelle gefunden.","J'ai trouvé ceci dans la vieille chapelle.","","","DIA_Lee_Add_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:40","Es ist eine magische Rune. Ich glaube, sie teleportiert dich direkt hierhin zum Hof.","C'est une rune magique. A mon avis, elle a pour fonction de téléporter son utilisateur ici, à la ferme.","","","DIA_Lee_Add_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:41","Ich dachte, du könntest sie vielleicht gebrauchen.","Je me suis dit qu'elle pouvait vous être utile.","","","DIA_Lee_Add_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:82","Bist du gekommen, um das Geld für Onar zu bringen?","Vous apportez l'argent d'Onar ?","","","DIA_Lee_PMSchulden_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:86","Ich hatte dir doch gesagt, du sollst hier keine Dummheiten mehr machen.","Je vous ai déjà dit de ne rien faire de stupide ici.","","","DIA_Lee_PMSchulden_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:87","Onar hat mitbekommen, dass du mittlerweile noch mehr auf dem Kerbholz hast.","Onar a entendu dire que vous étiez devenu célèbre.","","","DIA_Lee_PMSchulden_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:90","Dementsprechend will er jetzt mehr Geld.","Donc, il veut désormais plus d'argent.","","","DIA_Lee_PMSchulden_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:91","Wieviel?","Combien ?","","","DIA_Lee_PMAdd_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:105","Ich hatte dich für klüger gehalten.","Je vous croyais plus intelligent que ça.","","","DIA_Lee_PMSchulden_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:110","Dann habe ich gute Nachrichten für dich.","Dans ce cas, j'ai de bonnes nouvelles pour vous.","","","DIA_Lee_PMSchulden_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:114","Plötzlich gibt es niemanden mehr, der den Mord gesehen hat.","D'un coup, plus personne ne vous a vu commettre de meurtre.","","","DIA_Lee_PMSchulden_04_06","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:120","Keiner der Leute will mehr bezeugen, dich bei einem Diebstahl gesehen zu haben.","Plus personne n'est disposé à témoigner que vous vous êtes livré à ce vol.","","","DIA_Lee_PMSchulden_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:126","Es ist niemand mehr da der GESEHEN hat, wie du einen der Bauern verprügelt hast.","Plus personne ne vous a vu tabasser l'un des fermiers.","","","DIA_Lee_PMSchulden_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:131","Anscheinend haben sich alle Anklagen gegen dich in Wohlgefallen aufgelöst.","Apparemment, toutes les charges retenues contre vous viennent de s'envoler d'un seul coup.","","","DIA_Lee_PMSchulden_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:134","Das ist auch 'ne Art, mit solchen Problemen umzugehen.","C'est une façon de régler ce genre de problème.","","","DIA_Lee_PMSchulden_04_10","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:139","Zahlen musst du jedenfalls nichts mehr.","Bref, vous n'avez plus à payer.","","","DIA_Lee_PMSchulden_04_11","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:140","Pass in Zukunft besser auf.","Mais surveillez vos actes à l'avenir.","","","DIA_Lee_PMSchulden_04_12","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:148","Damit eins klar ist: Deine Strafe musst du trotzdem in voller Höhe bezahlen.","Toutefois, une chose est sûre : vous devez quand même acquitter votre amende dans sa totalité.","","","DIA_Lee_PMSchulden_04_13","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:150","Also, was ist?","Alors, quelle est votre réponse ?","","","DIA_Lee_PMSchulden_04_14","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:159","Ich habe nicht genug Gold!","Je n'ai pas assez d'or.","","","DIA_Lee_PMSchulden.DIA_Lee_PETZMASTER_PayLater","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:160","Wieviel war es nochmal?","C'est combien déjà ?","","","DIA_Lee_PMSchulden.DIA_Lee_PMSchulden_HowMuchAgain","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:163","Ich will die Strafe zahlen.","Je veux payer l'amende !","","","DIA_Lee_PMSchulden.DIA_Lee_PETZMASTER_PayNow","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:170","Wie viel war es noch mal?","Combien ça coûte déjà ?","","","DIA_Lee_PMSchulden_HowMuchAgain_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:219","Wer zum Teufel hat DICH denn hier rein- (überrascht) - DU bist der Neue, der hier Ärger gemacht hat?","(surpris) Qui diable vous a laissé entrer ? C'est bien vous qui nous causez tous ces ennuis, non ?","","","DIA_Lee_PETZMASTER_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:220","Ich hab von Gorn gehört, dass du lebst, aber dass du hierher kommen würdest ... wie auch immer ...","Gorn m'avait dit que vous étiez encore en vie et que vous finiriez par venir ici.","","","DIA_Lee_PETZMASTER_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:225","Gut, dass du zu mir kommst, bevor alles noch schlimmer für dich wird..","Il est bien que vous vous soyez présenté devant moi avant que votre cas ne s'aggrave.","","","DIA_Lee_PETZMASTER_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:226","Die Söldner sind harte Jungs, und die Bauern hier sind auch nicht gerade zimperlich, aber du kannst nicht einfach Leute umbringen.","Les mercenaires sont des durs et les fermiers ici ne sont pas exactement des tendres, mais vous ne pouvez pas vous balader et tuer les gens.","","","DIA_Lee_PETZMASTER_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:231","Ganz zu schweigen von den anderen Sachen, die du hier abgezogen hast.","Sans même parler des autres exactions auxquelles vous vous êtes livré.","","","DIA_Lee_PETZMASTER_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:234","Ich kann dir helfen, aus der Sache wieder sauber rauszukommen.","Je peux vous aider à vous blanchir totalement...","","","DIA_Lee_PETZMASTER_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:235","Allerdings wird das nicht billig. Onar ist ein gieriger Mann, und nur wenn ER beide Augen zudrückt, ist die Sache vergessen.","Mais cela ne sera pas gratuit, loin de là. Onar est cupide et cette affaire ne sera oubliée que s'il accepte de fermer les yeux.","","","DIA_Lee_PETZMASTER_04_06","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:240","Gut, dass du kommst! Ich hab gehört, du hättest hier was gestohlen.","Vous avez bien fait de venir. Je me suis laissé dire que vous aviez volé quelque chose ici.","","","DIA_Lee_PETZMASTER_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:243","Und dich mit den Bauern geprügelt.","Et que vous aviez frappé les fermiers.","","","DIA_Lee_PETZMASTER_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:248","UND ein paar Schafe geschlachtet.","Sans oublier le fait que vous aviez tué leurs moutons.","","","DIA_Lee_PETZMASTER_04_09","",""
