"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:33","Wie in alten Zeiten.","Zupełnie jak za dawnych czasów.","","","DIA_Milten_DI_Hello.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:46","Wie in alten Zeiten.","Zupełnie jak za dawnych czasów.","","","DIA_Milten_DI_Hello_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:47","Du sagst es. Ich bin ja mal gespannt, ob es diesmal klappt.","Święte słowa. Ciekawe, czy i tym razem ci się uda...","","","DIA_Milten_DI_Hello_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:48","Was?","Co takiego?","","","DIA_Milten_DI_Hello_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:49","Dass du deinen Hintern retten kannst, bevor wieder die ganze Höhle über dich hereinbricht!","Uratować swój tyłek, gdy wokół rozpęta się prawdziwe piekło.","","","DIA_Milten_DI_Hello_03_03","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:63","Hast du ein paar Tränke übrig?","Nie masz paru mikstur na sprzedaż?","","","DIA_Milten_DI_TRADE.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:77","Hast du ein paar Tränke übrig?","Nie masz paru mikstur na sprzedaż?","","","DIA_Milten_DI_TRADE_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:88","Solange der Vorrat reicht.","Trochę zapasów jeszcze mi zostało.","","","DIA_Milten_DI_TRADE_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:100","Welchen Rat kannst du mir geben?","Masz dla mnie jakieś rady?","","","DIA_Milten_DI_Rat.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:114","Welchen Rat kannst du mir geben?","Masz dla mnie jakieś rady?","","","DIA_Milten_DI_Rat_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:115","Mmh. Es ehrt mich sehr, dass du gerade mich um Rat fragst. Mich beschäftigt schon die ganze Zeit nur eine Sache.","Hmmm... To miło, że pytasz o radę właśnie mnie. Przyznam, że jedna rzecz nie daje mi od pewnego czasu spokoju.","","","DIA_Milten_DI_Rat_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:116","Hast du das Auge Innos' mitgebacht?","Masz ze sobą Oko Innosa?","","","DIA_Milten_DI_Rat_03_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:122","Nein.","Nie.","","","DIA_Milten_DI_Rat.DIA_Milten_DI_Rat_nein","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:126","Natürlich.","Oczywiście.","","","DIA_Milten_DI_Rat.DIA_Milten_DI_Rat_ja","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:132","Nein.","Nie.","","","DIA_Milten_DI_Rat_nein_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:133","(entrüstet) Du bist doch ... Was wirst du denn tun, wenn dir hier auf der Insel Drachen begegnen?","Jak można być tak... A co zamierzasz zrobić, gdy natkniesz się na jakiegoś smoka?","","","DIA_Milten_DI_Rat_nein_03_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:134","Hast du denn gar nichts dazu gelernt? Sogar einen Alchemietisch haben wir hier, um das dämliche Ding wieder aufladen zu können.","Widzę, że nie zmądrzałeś od naszego ostatniego spotkania. Mamy tutaj nawet pracownię alchemiczną, w której można by napełnić amulet energią!","","","DIA_Milten_DI_Rat_nein_03_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Mage_DI.d:135","Und was machst du? Ich kann nur hoffen, dass uns deine Schlamperei nicht den Kopf kostet.","Co ty sobie wyobrażasz?! Ech, mam nadzieję, że twoja głupota nie będzie nas zbyt drogo kosztować.","","","DIA_Milten_DI_Rat_nein_03_03","",""
