"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:33","Ich komme im Auftrag der Wassermagier.","Przybywam tu z polecenia Magów Wody.","","False","DIA_Addon_Patrick_Hi.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:43","Ich komme im Auftrag der Wassermagier. Ich bin hier, um euch zu befreien.","Przybywam tu z polecenia Magów Wody, aby cię uwolnić.","","False","DIA_Addon_Patrick_Hi_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:44","(mißtrauisch) So? Und warum sollte ich dir das glauben?","Naprawdę? Niby czemu miałbym ci wierzyć?","","False","DIA_Addon_Patrick_Hi_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:45","Willst du hier raus oder nicht?","Chcesz się stąd wydostać?","","False","DIA_Addon_Patrick_Hi_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:46","Natürlich will ich hier raus - aber ...","Pewnie, że chcę stąd uciec. Ale...","","","DIA_Addon_Patrick_Hi_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:47","Vatras hat mich geschickt. Wenn dir das nicht reicht, könnt ihr von mir aus alle in diesem Loch verschimmeln.","Przysłał mnie Vatras. Jeśli to cię nie satysfakcjonuje, to nie będę się narzucał. Możesz tu zostać, jeśli bardzo chcesz.","","False","DIA_Addon_Patrick_Hi_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:48","(eilig) In Ordnung, ich glaube dir.","Dobrze, wierzę ci.","","False","DIA_Addon_Patrick_Hi_07_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:49","(verblüfft) Ja? Das ging schneller als erwartet. Okay, jetzt brauchen wir nur noch einen Plan.","Naprawdę? To było łatwiejsze, niż się spodziewałem. Dobra, teraz potrzebny nam plan.","","","DIA_Addon_Patrick_Hi_15_06","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:50","Ein Fluchtversuch ist 'ne riskante Sache. William hat's versucht und ist dabei draufgegangen.","Ucieczka to ryzykowna sprawa. William próbował i teraz wącha kwiatki od spodu.","","False","DIA_Addon_Patrick_Hi_07_07","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:51","Die Gefangenen sind Bauern und Arbeiter - sie vertrauen mir zwar, aber sie werden sich nicht auf eine Flucht einlassen.","Więźniowie to rolnicy i robotnicy. Ufają mi, ale nie zechcą ryzykować głową.","","","DIA_Addon_Patrick_Hi_07_08","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:54","Soll ich euch etwa 'ne Begnadigung von Raven holen?","Chcesz, żebym załatwił ci ułaskawienie od Kruka?","","False","DIA_Addon_Patrick_Hi.DIA_Addon_Patrick_Hi_Raven","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:55","Muss ich etwa alle Banditen töten, bevor ihr euch bewegt?","Mam załatwić wszystkich bandziorów, zanim się w ogóle ruszysz?","","","DIA_Addon_Patrick_Hi.DIA_Addon_Patrick_Hi_Kill","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:60","Aber das kann nicht der Plan sein.","Ale to się nie uda.","","False","DIA_Addon_Patrick_Plan_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:61","Sieh einfach zu, dass die Wachen uns nicht angreifen, dann verschwinden wir von hier.","Jeśli jednak zajmiesz się strażnikami, to reszta może wykorzystać szansę.","","False","DIA_Addon_Patrick_Plan_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:62","Okay, ich werde mich um darum kümmern. Sag den anderen, sie sollen sich bereit halten.","Dobrze. Strażników biorę na siebie. Powiedz innym, żeby się przygotowali.","","False","DIA_Addon_Patrick_Plan_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:69","Soll ich euch etwa 'ne Begnadigung von Raven holen?","Chcesz, żebym załatwił ci ułaskawienie od Kruka?","","False","DIA_Addon_Patrick_Hi_Raven_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:70","(grinst) Das wäre nicht schlecht.","To nie byłoby takie złe.","","False","DIA_Addon_Patrick_Hi_Raven_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:77","Muss ich etwa alle Banditen töten, bevor ihr euch bewegt?","Mam załatwić wszystkich bandziorów, zanim się w ogóle ruszysz?","","False","DIA_Addon_Patrick_Hi_Kill_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:78","(erschrocken) Das wäre ja Wahnsinn!","To byłoby czyste szaleństwo!","","False","DIA_Addon_Patrick_Hi_Kill_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:92","Alles klar, ihr könnt abhauen.","Droga wolna. Uciekajcie!","","","DIA_Addon_Patrick_ready.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_STRF_1118_Patrick.d:112","Alles klar, ihr könnt abhauen.","Droga wolna. Uciekajcie!","","","DIA_Addon_Patrick_ready_15_00","",""
