"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:327"," Für den König!","Niech żyje Król!","","False","SVM_1_MILGreetings","",""
"Scripts/Content/Story/SVM.d:328"," Für Innos!","Chwała Innosowi!","","False","SVM_1_PALGreetings","",""
"Scripts/Content/Story/SVM.d:329"," So ein Mistwetter!","Beznadziejna pogoda!","","False","SVM_1_Weather","",""
"Scripts/Content/Story/SVM.d:331"," Krieg ich dich DOCH noch!","A jednak mi się nie wymkniesz!","","False","SVM_1_IGetYouStill","",""
"Scripts/Content/Story/SVM.d:332"," Jetzt bist du dran!","Doigrałeś się!","","False","SVM_1_DieEnemy","",""
"Scripts/Content/Story/SVM.d:333"," Da ist wieder eins von diesen Drecksviechern!","Znowu jedna z tych głupich bestii!","","","SVM_1_DieMonster","",""
"Scripts/Content/Story/SVM.d:334"," Na warte, du dreckiger Dieb!","Czekaj tylko, ty parszywy złodzieju!","","","SVM_1_DirtyThief","",""
"Scripts/Content/Story/SVM.d:335"," Finger weg da!","Łapy precz!","","","SVM_1_HandsOff","",""
"Scripts/Content/Story/SVM.d:336"," Der Mistkerl schlachtet unsere Schafe!","Ten bydlak szlachtuje nasze owce!","","","SVM_1_SheepKiller","",""
"Scripts/Content/Story/SVM.d:337"," Das verdammte Mistvieh frisst unsere Schafe!","Ta przeklęta bestia pożera nasze owce!","","","SVM_1_SheepKillerMonster","",""
"Scripts/Content/Story/SVM.d:338"," Mörder!","Morderca!","","","SVM_1_YouMurderer","",""
"Scripts/Content/Story/SVM.d:339"," Hier kommen keine Viecher rein!","Żadne bestie nie mają tu prawa wstępu!","","","SVM_1_DieStupidBeast","",""
"Scripts/Content/Story/SVM.d:340"," Na warte, du Mistkerl!","Czekaj tylko, bydlaku!","","","SVM_1_YouDareHitMe","",""
"Scripts/Content/Story/SVM.d:341"," Du hast es so gewollt!","Sam tego chciałeś!","","","SVM_1_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:342"," Dann muss ich dich eben rausprügeln!","W takim razie będę musiał cię stąd wykopać!","","","SVM_1_ThenIBeatYouOutOfHere","",""
"Scripts/Content/Story/SVM.d:343"," Was hattest DU denn da drin zu suchen, he!?","A czego TY tam szukałeś, hę?!","","","SVM_1_WhatDidYouDoInThere","",""
"Scripts/Content/Story/SVM.d:344"," Wollt ihr wohl damit aufhören!?","Przestaniecie w końcu?!","","","SVM_1_WillYouStopFighting","",""
"Scripts/Content/Story/SVM.d:346"," Stirb, Mistkerl!","Giń, gnido!","","","SVM_1_KillEnemy","",""
"Scripts/Content/Story/SVM.d:347"," Das war's für dich, Penner.","To już koniec, śmieciu!","","","SVM_1_EnemyKilled","",""
"Scripts/Content/Story/SVM.d:348"," Ein Mistvieh weniger!","Jedna bestia mniej!","","","SVM_1_MonsterKilled","",""
"Scripts/Content/Story/SVM.d:349"," Versuch nie wieder, mich zu bestehlen!","Nigdy więcej nie próbuj mnie okradać!","","","SVM_1_ThiefDown","",""
"Scripts/Content/Story/SVM.d:350"," Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!","W przyszłości trzymaj łapska z dala od cudzych spraw.","","","SVM_1_rumfummlerDown","",""
"Scripts/Content/Story/SVM.d:351"," Tu das nie wieder! Das sind unsere Schafe!","Nigdy więcej tego nie rób! To NASZE owce!","","","SVM_1_SheepAttackerDown","",""
"Scripts/Content/Story/SVM.d:352"," Stirb, Mörder!","Giń, morderco!","","","SVM_1_KillMurderer","",""
"Scripts/Content/Story/SVM.d:353"," So ein saublödes Vieh!","Co za głupia bestia!","","","SVM_1_StupidBeastKilled","",""
"Scripts/Content/Story/SVM.d:354"," Leg dich nie wieder mit mir an!","Nigdy więcej nie próbuj się ze mną mierzyć!","","","SVM_1_NeverHitMeAgain","",""
"Scripts/Content/Story/SVM.d:355"," Du hättest auf mich hören sollen!","Trzeba było mnie słuchać!","","","SVM_1_YouBetterShouldHaveListened","",""
"Scripts/Content/Story/SVM.d:356"," Und jetzt mach, dass du hier rauskommst!","A teraz zmywaj się stąd!","","","SVM_1_GetUpAndBeGone","",""
"Scripts/Content/Story/SVM.d:357"," Und dass ich dich nie wieder da drin erwische!","I żebym cię już nigdy więcej tam nie przyłapał!","","","SVM_1_NeverEnterRoomAgain","",""
"Scripts/Content/Story/SVM.d:358"," Hier wird nicht gekämpft, klar!? Lass dir das eine Lehre sein!","Tu się nie walczy, jasne?! Niech to będzie dla ciebie nauczką!","","","SVM_1_ThereIsNoFightingHere","",""
