"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_GivePotion.d:12","(Heiltrank geben)","(дать лечебное зелье)","","","DIA_Addon_GivePotion.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_GivePotion.d:35","(Elixier der Heilung geben)","(дать лечебный эликсир)","","","DIA_Addon_GivePotion.DIA_Addon_GivePotion_ItPo_Health_03","Info_AddChoice",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_GivePotion.d:40","(Extrakt der Heilung geben)","(дать лечебный экстракт)","","","DIA_Addon_GivePotion.DIA_Addon_GivePotion_ItPo_Health_02","Info_AddChoice",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_GivePotion.d:45","(Essenz der Heilung geben)","(дать лечебную эссенцию)","","","DIA_Addon_GivePotion.DIA_Addon_GivePotion_ItPo_Health_01","Info_AddChoice",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_GivePotion.d:52","Hier, nimm den Heiltrank.","Вот, возьми это лечебное зелье.","","","DIA_Addon_Brandon_GivePotion_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:6","Lehre mich die fremde Sprache.","Научи меня этому языку.","","","DIA_Addon_Myxir_TeachRequest_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:11","Fangen wir erst einmal einfach an. Ich kann dich zu Anfang die Sprache der Bauern lehren.","Ну, начнем с чего-нибудь простого. В первую очередь займемся языком крестьян.","","","DIA_Addon_Myxir_TeachL1_12_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:12","Texte, die in der Sprache der Bauern geschrieben sind, handeln in der Regel von weltlichen Belangen, wie Arbeit, Liebe oder die Beschaffung von Lebensmitteln.","Как правило, тексты, написанные на языке крестьян, связаны с нашим миром, с такими понятиями, как работа, любовь, добыча пищи.","","","DIA_Addon_Myxir_TeachL1_12_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:13","Es war die gemeine Sprache der Stadt. Die meisten Texte, die man hier findet, wirst du damit verstehen können.","Это - основной язык города. Ты сможешь прочесть большинство текстов, которые найдешь здесь, если его освоишь.","","","DIA_Addon_Myxir_TeachL1_12_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:18","Die Sprache der Bauern kennst du ja bereits. Die Sprache der Krieger ist schon etwas schwieriger.","Ты уже знаком с языком крестьян. Язык воинов немного более сложен.","","","DIA_Addon_Myxir_TeachL2_12_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:19","Texte, die in der Sprache der Krieger geschrieben wurden, handeln meistens von Waffen und dem Krieg. Du wirst einige für dich nützliche Dinge dort erfahren.","Тексты, написанные на языке воинов, в основном касаются войн и оружия. Ты узнаешь кое-что полезное.","","","DIA_Addon_Myxir_TeachL2_12_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:24","Die hohe Sprache der Priester ist wahrhaftig sehr schwer zu verstehen. Aber ich kann sie dir gerne zeigen.","Высокий штиль жрецов трудно понять. Но я с радостью обучу тебя ему.","","","DIA_Addon_Myxir_TeachL3_12_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:25","In der Sprache der Priester sind vor allem heilige Schriften verfasst, die die Geschichte und Magie der Erbauer erklären.","Помимо прочего, священные книги, описывающие историю и магию создателей, написаны на языке жрецов.","","","DIA_Addon_Myxir_TeachL3_12_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:26","Jeder dieser Texte ist eine wahre Kostbarkeit, wenn man ihren Sinn versteht.","Каждый из этих текстов - настоящее сокровище, если, конечно, ты можешь его понять.","","False","DIA_Addon_Myxir_TeachL3_12_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:31","Es gibt nichts mehr, was ich dir noch zeigen könnte. Du beherrschst jetzt die Sprache der Erbauer.","Больше мне нечего тебе показать. Ты изучил язык зодчих.","","","DIA_Addon_Myxir_TeachNoMore_12_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Myxir_TeachRequest.d:36","Geh hin und erprobe dein neues Wissen. Du wirst sehen, dass die Schriften der Erbauer nicht länger ein unlösbares Rätsel für dich sind.","Пойди и опробуй свои новые знания. Ты увидишь, что священные книги зодчих больше не являются для тебя тайной.","","","DIA_Addon_Myxir_Teach_LANGUAGE_X_12_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Riordian_TeachWisp.d:6","Zeig mir, wie ich mein Irrlicht unterrichte.","Покажи мне, как тренировать моего блуждающего огонька.","","","DIA_Addon_Riordian_Teach_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Riordian_TeachWisp.d:11","Nun kann dein Irrlicht schon einige Dinge mehr finden, die dir nützen.","Теперь твой блуждающий огонек сможет найти больше полезных для тебя предметов.","","","DIA_Addon_Riordian_Teach_WISPSKILL_X_10_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Riordian_TeachWisp.d:16","Dein Irrlicht sucht nun nach allen Gegenständen, die sich zu finden lohnen. Ich kann dir nichts mehr zeigen.","Теперь твой блуждающий огонек будет искать интересные для тебя предметы. Мне больше нечему учить тебя.","","","DIA_Addon_Riordian_Teach1_10_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Addon_Riordian_TeachWisp.d:21","Wonach soll dein Irrlicht denn suchen?","Что ты хочешь, чтобы искал твой блуждающий огонек?","","","DIA_Addon_Riordian_Teach2_10_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AkilsSchaf_KommMit.d:10","Komm mit!","Пойдем со мной!","","","DIA_AkilsSchaf_KommMit.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:20","Hört, ihr Bewohner von Khorinis! Auf ausdrückliche Anordnung des ehrenwerten Lord Hagens ergeht folgender Erlass.","Слушайте, жители Хориниса! По прямому указанию достопочтимого лорда Хагена, сегодня вступает в силу следующий декрет.","","","DIA_Herold_Announce_04_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:27","Aufgrund der allgemeinen Lage zu eurem eigenen Schutz sind die Wälder und Wildnis in der Umgebung der Stadt zu meiden!","Учитывая общую ситуацию, леса и пустоши около города следует избегать ради вашей собственной же безопасности.","","","DIA_Herold_Announce_04_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:28","Des weiteren ist jeglicher Kontakt zu den aufständischen Bauernschaften in den umliegenden Gebieten strengstens untersagt.","Кроме того, любые контакты с восставшими крестьянами в прилежащих землях строжайше запрещены.","","","DIA_Herold_Announce_04_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:32","Ab sofort wird Lord Andre den Oberbefehl für unsere Miliz übernehmen.","С этого момента лорд Андрэ назначается главнокомандующим нашим ополчением.","","","DIA_Herold_Announce_04_03","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:33","Alle Bürger dieser Stadt, die über kämpferische Fähigkeiten verfügen, werden hiermit angehalten, der königlichen Miliz beizutreten.","Все граждане этого города, имеющие военные навыки, обязаны вступить в королевское ополчение.","","","DIA_Herold_Announce_04_04","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:37","Die Sicherheitsmaßnahmen zum Schutz des oberen Viertels werden noch weiter verstärkt.","Меры безопасности по защите верхнего квартала будут еще усилены.","","","DIA_Herold_Announce_04_05","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:38","Die Torwachen sind angewiesen, das Gesetz in aller Strenge auszulegen, um unerlaubtes Eindringen zu verhindern.","Охране у ворот приказано применять закон самым строжайшим образом, чтобы предотвратить несанкционированный доступ к кварталу.","","","DIA_Herold_Announce_04_06","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:42","In allen Städten und Landstrichen des Reiches ist ab sofort das Kriegsrecht ausgerufen.","Во всех городах и провинциях королевства объявляется военное положение.","","","DIA_Herold_Announce_04_07","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:43","Alle bürgerlichen Richter haben mit sofortiger Wirkung ihre Aufgaben an die königlichen Paladine zu übertragen.","Все гражданские судьи должны сложить свои обязанности и передать их королевским паладинам.","","","DIA_Herold_Announce_04_08","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:44","Der ehrenwerte Lord Andre ist angewiesen worden, jegliches Vergehen oder Widerstand gegen die Garde des Königs aufs Schwerste zu bestrafen.","Высокочтимому лорду Андрэ приказано карать любое преступление или акт сопротивления королевской страже самым жестоким образом.","","","DIA_Herold_Announce_04_09","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:45","Jeder Bewohner von Khorinis, der sich eines Verbrechens schuldig macht, hat sich umgehend bei Lord Andre zu melden.","Все жители Хориниса, виновные в преступлении, должны немедленно прибыть к лорду Андрэ.","","","DIA_Herold_Announce_04_10","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:49","Jeder Bewohner der Stadt hat sich auf Grund der drohenden Gefahr eines Orkangriffs entsprechend vorzubereiten.","Учитывая опасность нападения на город орков, все жители города должны соответствующим образом подготовиться.","","","DIA_Herold_Announce_04_11","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:50","Jeder hat sich ab sofort in den Fertigkeiten des Kampfes zu üben und sich angemessen zu bewaffnen.","Все должны немедленно приступить к обучению боевым навыкам и должным образом вооружиться.","","","DIA_Herold_Announce_04_12","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:57","Der Söldnerschmied Bennet, der den Paladin Lothar heimtückisch ermordet hat, ist im Namen Innos' verurteilt worden.","Кузнец-наемник Беннет, вероломно убивший паладина Лотара, объявляется проклятым от имени Инноса.","","","DIA_Herold_Announce_04_13","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:58","Das Urteil lautet Tod durch den Strick. Die Vollstreckung erfolgt in wenigen Tagen.","Он приговорен к смерти через повешение. Приговор будет приведен в исполнение в ближайшие дни.","","","DIA_Herold_Announce_04_14","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:62","Der Schmied Bennet wird freigesprochen, da seine Unschuld von einem klugen Berater Lord Hagens bewiesen wurde.","С кузнеца Беннета были сняты все обвинения вследствие его невиновности, которая была доказана советником лорда Хагена.","","","DIA_Herold_Announce_04_15","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:67","Den aufkommenden Gerüchten über das Erscheinen von Drachen im Minental von Khorinis ist kein Glaube zu schenken.","Слухи о появлении драконов в Долине Рудников Хориниса являются ложными.","","","DIA_Herold_Announce_04_16","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:68","Die Gerüchte sind vom Feind gestreut worden, um das tapfere Volk von Myrtana in Angst und Schrecken zu versetzen.","Эти слухи распространяются врагом с целью посеять страх и ужас в душах мужественных жителей Миртаны.","","","DIA_Herold_Announce_04_17","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:69","Um die lächerlichen Behauptungen zu widerlegen, ist ein Trupp tapferer Paladine unter dem Befehl eines Ortskundigen ins Minental aufgebrochen.","Чтобы развеять эти нелепые слухи, в Долину Рудников был отправлен отряд бравых паладинов под командованием человека, хорошо знакомого с этой местностью.","","","DIA_Herold_Announce_04_18","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:76","Die Drachen, die das Land bedrohten, wurden von tapferen Männern unter dem Befehl von Lord Hagen besiegt.","Драконы, угрожавшие спокойствию нашей земли, были уничтожены мужественным воином под командованием лорда Хагена.","","","DIA_Herold_Announce_04_19","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:77","Bald wird auch König Rohbar das Land von den Orks befreit haben und das Königreich wird in neuem Glanz aufblühen!","Скоро король Робар освободит наши земли от орков, и королевство опять станет цветущим и преуспевающим.","","","DIA_Herold_Announce_04_20","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:81","Lord Andre erhält mit sofortiger Wirkung den Oberbefehl über die Stadt Khorinis.","Лорд Андрэ назначается верховным командующим города Хориниса. Он вступает в эту должность немедленно.","","","DIA_Herold_Announce_04_21","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Herold.d:82","Lord Hagen hat verkündet, nun selbst ins Minental zu ziehen, um dafür zu sorgen, dass sein Schiff mit dem magischen Erz beladen werden kann.","Лорд Хаген объявил, что лично направляется в Долину Рудников, чтобы обеспечить загрузку корабля магической рудой.","","","DIA_Herold_Announce_04_22","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:32","Wer hat hier das Sagen?","Кто здесь главный?","","","DIA_Addon_BL_BDT_1_Chef.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:42","Wer hat hier das Sagen?","Кто здесь главный?","","","DIA_Addon_BL_BDT_1_Chef_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:48","Soviele Anführer kommen und gehen ... da verliert man schon mal den Überblick.","Так много командиров приходит и уходит... Через некоторое время ты теряешь их из виду...","","","DIA_Addon_BL_BDT_1_Chef_01_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:52","Ich glaube, Thorus ist jetzt unser Chef ...","Я думаю, Торус сейчас за главного...","","","DIA_Addon_BL_BDT_1_Chef_01_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:57","Raven ist unser Anführer. Er hat uns hergeführt und das Lager aufgebaut.","Ворон сейчас наш командир. Он привел нас сюда и построил лагерь.","","","DIA_Addon_BL_BDT_1_Chef_01_03","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:58","Er kontrolliert die Mine, denn sonst hätten sich die Hunde längst wegen dem Gold umgebracht.","Он контролирует шахту, без него все давным-давно поубивали бы друг друга за золото.","","","DIA_Addon_BL_BDT_1_Chef_01_04","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:70","Was weißt du über das Lager?","Что вы знаете про лагерь?","","","DIA_Addon_BL_BDT_1_Lager.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:84","Was weißt du über das Lager?","Что вы знаете про лагерь?","","","DIA_Addon_BL_BDT_1_Lager_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:85","Nachdem klar war, dass es hier eine Goldmine gibt, haben sich die Penner wohl ganz schön auf's Maul gehauen.","После того как стало известно о золотой шахте, эти бродяги, должно быть, все перегрызлись.","","","DIA_Addon_BL_BDT_1_Lager_01_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:86","Raven hat dann die Schlimmsten von ihnen umgebracht und den Rest aus der Mine geworfen.","Ворон убил худших из них, а остальных вышвырнул из шахты.","","","DIA_Addon_BL_BDT_1_Lager_01_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:87","Seitdem darf niemand mehr in den oberen Bereich. Er hat sogar Gefangene anschleppen lassen, die in der Mine schürfen.","С тех пор никто не допускается в верхнюю часть. Он даже притащил заключенных, чтобы работать в шахте.","","","DIA_Addon_BL_BDT_1_Lager_01_03","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:107","Kannst du mir mehr über das Lager erzählen?","Что вы знаете про лагерь?","","","DIA_Addon_BL_BDT_1_Lager2.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:120","Was weißt du über das Lager?","Что вы знаете про лагерь?","","","DIA_Addon_BL_BDT_1_Lager2_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:121","Wenn du jemanden angreifst, werden sich ALLE auf dich stürzen.","Если ты на кого-нибудь нападешь, они ВСЕ набросятся на тебя.","","","DIA_Addon_BL_BDT_1_Lager2_01_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:122","Es sei denn, du hast einen Grund, dich mit jemandem anzulegen. Dann wird sich keiner einmischen.","Если у тебя нет хорошего повода разобраться с кем-то, конечно. Тогда никто не будет вмешиваться.","","","DIA_Addon_BL_BDT_1_Lager2_01_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:134","Gibt's was Neues? ","Какие новости?","","","DIA_Addon_BL_BDT_1_News.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:144","Gibt's was Neues?","Какие новости?","","","DIA_Addon_BL_BDT_1_News_15_00","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:148","Raven ist tot. Was sollen wir denn jetzt machen?","Ворон мертв. Что же нам теперь делать?","","","DIA_Addon_BL_BDT_1_News_01_01","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:151","Die Piraten wollen uns nicht mehr zum Festland bringen, weil sie für ihre letzten Transporte nicht bezahlt wurden.","Пираты не захотят везти нас на материк, потому что им так и не заплатили за несколько последних перевозок.","","","DIA_Addon_BL_BDT_1_News_01_02","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:152","Wir sollten ein oder zwei von ihnen aufspießen, dann werden die anderen uns garantiert wieder übersetzen.","Нам следует зарезать одного или двух, тогда остальным придется взять нас.","","","DIA_Addon_BL_BDT_1_News_01_03","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:164","Was weißt du über die Gefangenen?","Что вы знаете про заключенных?","","","DIA_Addon_BL_BDT_1_Sklaven.description","",""
"Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Addon_BL_BDT_1.d:179","Was weißt du über die Gefangenen?","Что вы знаете про заключенных?","","","DIA_Addon_BL_BDT_1_Sklaven_15_00","",""
