"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:56","Jetzt brat mir doch einer 'nen Storch. Auch auf der Suche nach Profit, was? Ich wusste es doch! Doch 'ne Söldnerseele.","Ох, будь я проклят! Ты тоже решил подзаработать, ха? Я знал это! У тебя душа наемника.","","","DIA_SylvioDJG_HelloAgain_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:57","Hör zu, wenn du meinst, dass du hier absahnen kannst, dann bist du schief gewickelt. Ich war zuerst hier.","Послушай, если ты думаешь, что загребешь здесь кучу золота, ты жестоко ошибаешься. Я был здесь первым.","","","DIA_SylvioDJG_HelloAgain_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:61","Hey du! Magier machen mich immer nervös! Geh woanders hin! Hier gibt's nichts zu holen.","Эй ты! Меня тошнит от магов! Иди куда-нибудь еще! Здесь для тебя ничего нет.","","","DIA_SylvioDJG_HelloAgain_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:65","Hey du, Paladin! Geh wieder zu deiner Erzmine. Hier gibt's nichts zu holen.","Эй ты, паладин! Возвращайся в свою шахту. Здесь для тебя ничего нет.","","","DIA_SylvioDJG_HelloAgain_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:68","Schon klar. Wer gibt schon gerne seine Beute her.","Понял. Никто не хочет расставаться с награбленным.","","","DIA_SylvioDJG_HelloAgain_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:69","Du sagst es. Verschwinde.","Ты сам сказал это. Исчезни.","","","DIA_SylvioDJG_HelloAgain_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:81","Und wenn ich nicht gehe?","А что, если не исчезну?","","False","DIA_Sylvio_VERSAGER.description","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:95","Und wenn ich nicht gehe?","А что, если не исчезну?","","","DIA_Sylvio_VERSAGER_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:96","Jetzt spiel hier nicht den starken Mann, du Würstchen, sonst geht es dir wie den armen Schweinen, die dahinten tot im Schnee liegen.","Не строй из себя крутого, выскочка, иначе тебя ждет такой же конец, как вот тех неудачников, лежащих в снегу.","","","DIA_Sylvio_VERSAGER_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:108","Das waren deine Leute?","Это твои люди?","","","DIA_Sylvio_DEINELEUTE.description","",""
