"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/NPC/BAU_4300_Addon_Cavalorn.d:4","Cavalorn","Кавалорн","","","Bau_4300_Addon_Cavalorn.name","",""
"Scripts/Content/Story/NPC/BAU_900_Onar.d:4","Onar","Онар","","","BAU_900_Onar.name","",""
"Scripts/Content/Story/NPC/BAU_902_Gunnar.d:4","Gunnar","Гуннар","","","BAU_902_Gunnar.name","",""
"Scripts/Content/Story/NPC/BAU_903_Bodo.d:4","Bodo","Бодо","","","BAU_903_Bodo.name","",""
"Scripts/Content/Story/NPC/BAU_907_Wasili.d:4","Wasili","Василий","","","BAU_907_Wasili.name","",""
"Scripts/Content/Story/NPC/BAU_908_Hodges.d:4","Hodges","Ходжес","","","BAU_908_Hodges.name","",""
"Scripts/Content/Story/NPC/BAU_910_Maria.d:4","Maria","Мария","","","BAU_910_Maria.name","",""
"Scripts/Content/Story/NPC/BAU_911_Elena.d:4","Elena","Елена","","","BAU_911_Elena.name","",""
"Scripts/Content/Story/NPC/BAU_912_Pepe.d:4","Pepe","Пепе","","","BAU_912_Pepe.name","",""
"Scripts/Content/Story/NPC/BAU_913_Thekla.d:4","Thekla","Текла","","","BAU_913_Thekla.name","",""
"Scripts/Content/Story/NPC/BAU_930_Sekob.d:4","Sekob","Секоб","","","BAU_930_Sekob.name","",""
"Scripts/Content/Story/NPC/BAU_931_Till.d:4","Till","Тилл","","","BAU_931_Till.name","",""
"Scripts/Content/Story/NPC/BAU_932_Balthasar.d:4","Balthasar","Бальтазар","","","BAU_932_Balthasar.name","",""
"Scripts/Content/Story/NPC/BAU_933_Rega.d:4","Rega","Рега","","","BAU_933_Rega.name","",""
"Scripts/Content/Story/NPC/BAU_934_Babera.d:4","Babera","Бабера","","","BAU_934_Babera.name","",""
"Scripts/Content/Story/NPC/BAU_935_Bronko.d:4","Bronko","Бронко","","","BAU_935_Bronko.name","",""
"Scripts/Content/Story/NPC/BAU_936_Rosi.d:4","Rosi","Рози","","","BAU_936_Rosi.name","",""
"Scripts/Content/Story/NPC/BAU_940_Akil.d:4","Akil","Акил","","","BAU_940_Akil.name","",""
"Scripts/Content/Story/NPC/BAU_941_Kati.d:4","Kati","Кати","","","BAU_941_Kati.name","",""
"Scripts/Content/Story/NPC/BAU_942_Randolph.d:4","Randolph","Рендольф","","","BAU_942_Randolph.name","",""
"Scripts/Content/Story/NPC/BAU_944_Ehnim.d:4","Ehnim","Эним","","","BAU_944_Ehnim.name","",""
"Scripts/Content/Story/NPC/BAU_945_Egill.d:4","Egill","Эгилл","","","BAU_945_Egill.name","",""
"Scripts/Content/Story/NPC/BAU_950_Lobart.d:4","Lobart","Лобарт","","","BAU_950_Lobart.name","",""
"Scripts/Content/Story/NPC/BAU_951_Hilda.d:4","Hilda","Хильда","","","BAU_951_Hilda.name","",""
"Scripts/Content/Story/NPC/BAU_952_Vino.d:4","Vino","Вино","","","BAU_952_Vino.name","",""
"Scripts/Content/Story/NPC/BAU_954_Maleth.d:4","Maleth","Малет","","","BAU_954_Maleth.name","",""
"Scripts/Content/Story/NPC/BAU_960_Bengar.d:4","Bengar","Бенгар","","","BAU_960_Bengar.name","",""
"Scripts/Content/Story/NPC/BAU_961_Gaan.d:4","Gaan","Гаан","","","BAU_961_Gaan.name","",""
"Scripts/Content/Story/NPC/BAU_963_Malak.d:4","Malak","Малак","","","BAU_963_Malak.name","",""
"Scripts/Content/Story/NPC/BAU_964_Bauer.d:4","Bauer","Фермер","","","BAU_964_Bauer.name","",""
