"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:56","Jetzt brat mir doch einer 'nen Storch. Auch auf der Suche nach Profit, was? Ich wusste es doch! Doch 'ne Söldnerseele.","От чорт! Шукаєш легкої наживи, га? Я так і знав! Маєш душу найманця.","","False","DIA_SylvioDJG_HelloAgain_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:57","Hör zu, wenn du meinst, dass du hier absahnen kannst, dann bist du schief gewickelt. Ich war zuerst hier.","Слухай, якщо ти думаєш, що тут можна нажитися, то ти помиляєшся. Я був тут першим.","","False","DIA_SylvioDJG_HelloAgain_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:61","Hey du! Magier machen mich immer nervös! Geh woanders hin! Hier gibt's nichts zu holen.","Гей, ти! Маги завжди мене нервують! Іди кудись в інше місце! Тут нічого не знайдеш.","","False","DIA_SylvioDJG_HelloAgain_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:65","Hey du, Paladin! Geh wieder zu deiner Erzmine. Hier gibt's nichts zu holen.","Гей ти, паладине! Повернися назад до своєї рудної копальні. Тут нема чим поживитися.","","False","DIA_SylvioDJG_HelloAgain_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:68","Schon klar. Wer gibt schon gerne seine Beute her.","Розумію. Ніхто не любить ділитися здобиччю.","","False","DIA_SylvioDJG_HelloAgain_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:69","Du sagst es. Verschwinde.","Сам це сказав. Тепер зникни.","","False","DIA_SylvioDJG_HelloAgain_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:81","Und wenn ich nicht gehe?","А якщо я не піду?","","False","DIA_Sylvio_VERSAGER.description","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:95","Und wenn ich nicht gehe?","А якщо я не піду?","","False","DIA_Sylvio_VERSAGER_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:96","Jetzt spiel hier nicht den starken Mann, du Würstchen, sonst geht es dir wie den armen Schweinen, die dahinten tot im Schnee liegen.","Не роби тут із себе крутого, дрібното, бо інакше закінчиш, як ті бідні свині, що лежать мертвими в снігу.","","False","DIA_Sylvio_VERSAGER_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:108","Das waren deine Leute?","Це були твої люди?","","False","DIA_Sylvio_DEINELEUTE.description","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:123","Das waren deine Leute?","Це були твої люди?","","False","DIA_Sylvio_DEINELEUTE_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:124","Jetzt nicht mehr. Ist kein großer Verlust. Die Idioten haben sowieso nichts getaugt.","Тепер вже ні. Це не велика втрата. Ці ідіоти все одно нічого не вартували.","","False","DIA_Sylvio_DEINELEUTE_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:136","Was ist mit ihnen passiert?","Що з ними сталося?","","False","DIA_Sylvio_WASISTPASSIERT.description","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:150","Was ist mit ihnen passiert?","Що з ними сталося?","","False","DIA_Sylvio_WASISTPASSIERT_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:151","Sie haben es nicht geschafft, an den dicken Eisriesen da hinten vorbeizukommen und sind von ihnen überrannt worden.","Вони не змогли обійти того крижаного велетня там позаду і були ним розгромлені.","","False","DIA_Sylvio_WASISTPASSIERT_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:152","Wenn du so ein harter Bursche bist, warum versuchst du es nicht mal?","Якщо ти такий крутий хлопець, чому б тобі не спробувати?","","False","DIA_Sylvio_WASISTPASSIERT_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:154","Na gut. Warum nicht.","Добре. Чому б і ні.","","False","DIA_Sylvio_WASISTPASSIERT.DIA_Sylvio_WASISTPASSIERT_ok","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:155","Was hast du davon, wenn ich es tun würde?","Що ти отримаєш, якщо я це зроблю?","","False","DIA_Sylvio_WASISTPASSIERT.DIA_Sylvio_WASISTPASSIERT_washastdudavon","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:156","Was springt für mich dabei raus?","Що я від цього отримаю?","","False","DIA_Sylvio_WASISTPASSIERT.DIA_Sylvio_WASISTPASSIERT_warum","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:157","Warum räumst du sie nicht selbst weg?","Чому ти сам їх не позбавишся?","","False","DIA_Sylvio_WASISTPASSIERT.DIA_Sylvio_WASISTPASSIERT_selbst","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:168","Warum räumst du sie nicht selbst weg?","Чому ти сам їх не позбавишся?","","False","DIA_Sylvio_WASISTPASSIERT_selbst_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:169","Komm, komm. Jetzt blas dich mal nicht so auf.","Ну давай, давай. Тільки не задирай носа.","","False","DIA_Sylvio_WASISTPASSIERT_selbst_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:170","Wenn du mich fragst, hast du die Hosen gestrichen voll.","Якщо хочеш знати мою думку, ти робиш це від страху.","","False","DIA_Sylvio_WASISTPASSIERT_selbst_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:172","Ich lass´ mich auf deine Spielchen nicht ein.","Я не буду брати участь у твоїх іграх.","","False","DIA_Sylvio_WASISTPASSIERT.DIA_Sylvio_WASISTPASSIERT_keinInteresse","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:178","Was springt für mich dabei raus?","Що я від цього отримаю?","","False","DIA_Sylvio_WASISTPASSIERT_warum_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:179","Weiß nicht. Sagen wir ... 1000 Goldmünzen. Ist das nichts?","Не знаю. Скажімо… 1000 золотих монет. Хіба це нічого?","","False","DIA_Sylvio_WASISTPASSIERT_warum_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:186","Was hast du davon, wenn ich es tun würde?","Що ти отримаєш, якщо я це зроблю?","","False","DIA_Sylvio_WASISTPASSIERT_washastdudavon_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:187","Das kann dir doch egal sein. Aber um deine Frage zu beantworten, ich will in die Eisregion.","Das kann dir doch egal sein. Aber um deine Frage zu beantworten, ich will in die Eisregion.","","False","DIA_Sylvio_WASISTPASSIERT_washastdudavon_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:188","Dummerweise stehen mir diese verdammten Dinger im Weg.","Jest parк spraw, z ktуrymi mam problem.","","True","DIA_Sylvio_WASISTPASSIERT_washastdudavon_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:190","Was willst du in der Eisregion?","Co takiego kryje w sobie lodowa kraina?","","True","DIA_Sylvio_WASISTPASSIERT.DIA_Sylvio_WASISTPASSIERT_Eisregion","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:195","Ich lass mich auf deine Spielchen nicht ein.","Nie mam zamiaru uczestniczyж w twoich gierkach.","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_NEIN_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:196","Ach. Dann verschwinde doch, du Feigling.","Taak. Wiкc wynoњ siк st№d, tchуrzu.","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_NEIN_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:203","Was willst du in der Eisregion?","Co takiego kryje w sobie lodowa kraina?","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:204","Du hörst nicht auf zu fragen, was? Na gut, ich werde es dir verraten.","Ty chyba nie masz doњж tych swoich pytaс, co? Dobra, powiem ci.","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:205","Hier, hinter diesen Felsen findest du ein Ödland aus Eis, wie du es noch nicht gesehen hast.","Tutaj, za klifami, rozci№ga siк lodowa kraina, jakiej nigdy jeszcze nie widziaіeњ.","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:206","Dort verbirgt sich ein Schmuckstück von einem Eisdrachen mit seinem fetten Hort.","Podobno znajduje siк tam wielki skarb lodowego smoka.","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:207","Den will ich. Also, was ist jetzt? Ja oder nein?","Ja zaњ chcк tego skarbu. Wiкc jak? Zgadzasz siк, czy nie?","","True","DIA_Sylvio_WASISTPASSIERT_keinInteresse_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:212","Na gut. Warum nicht.","W porz№dku, czemu nie?","","True","DIA_Sylvio_WASISTPASSIERT_ok_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:213","Dann beeil dich. Ich hab nicht den ganzen Tag Zeit.","Poњpiesz siк wiкc. Nie mam dla ciebie caіego dnia.","","True","DIA_Sylvio_WASISTPASSIERT_ok_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:227","Der Weg ist frei!","Przejњcie jest bezpieczne!","","True","DIA_Sylvio_ICEGOLEMSKILLED.description","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:243","Der Weg ist frei! Deine Eisriesen sind nicht mehr.","Przejњcie jest bezpieczne! Pozbyіem siк lodowych gigantуw.","","True","DIA_Sylvio_ICEGOLEMSKILLED_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:244","Gute Arbeit. Dann lass doch mal sehen, was wir da haben.","Њwietna robota. Niech no i ja siк przyjrzк.","","True","DIA_Sylvio_ICEGOLEMSKILLED_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:248","Moment. Was ist mit dem Geld?","Chwileczkк. A co z moimi pieniкdzmi?","","True","DIA_Sylvio_ICEGOLEMSKILLED_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:249","Alles zu seiner Zeit.","Wszystko w swoim czasie.","","True","DIA_Sylvio_ICEGOLEMSKILLED_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:269","Was jetzt?","Co dalej?","","True","DIA_Sylvio_WASJETZT.description","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:283","Was jetzt?","Co dalej?","","True","DIA_Sylvio_WASJETZT_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:284","Tja. Sieht übel aus, würde ich sagen.","Cуї. Obawiam siк, їe nie jest dobrze.","","True","DIA_Sylvio_WASJETZT_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:285","Am besten du gehst vor und ich folge dir einfach.","Najlepiej bкdzie, jeњli pуjdziesz przodem, a ja za tob№.","","True","DIA_Sylvio_WASJETZT_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:287","Von mir aus.","Niech ci bкdzie.","","True","DIA_Sylvio_WASJETZT.DIA_Sylvio_WASJETZT_ok","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:288","Hast du Angst?","Czyїbyњ siк baі?","","True","DIA_Sylvio_WASJETZT.DIA_Sylvio_WASJETZT_trennen","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DJG_700_Sylvio.d:289","Ich mach nicht die Drecksarbeit für dich.","Nie bкdк odwalaі za ciebie brudnej roboty.","","True","DIA_Sylvio_WASJETZT.DIA_Sylvio_WASJETZT_nein","Info_AddChoice",""
