"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:53","Warum störst du meine Ruhe, Wächter?","Чому ти порушуєш мій спокій, вартовий?","","False","DIA_Addon_Quarhodron_Hello_11_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:54","(verärgert) Sag mir, was ist dein Begehren?","(роздратовано) Скажи-но мені, чого ти хочеш?","","False","DIA_Addon_Quarhodron_Hello_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:57","Was befindet sich im Tempel Adanos?","Що знаходиться в Храмі Аданоса?","","False","DIA_Addon_Quarhodron_Hello.DIA_Addon_Quarhodron_Hello_schwert","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:58","Jemand ist in den Tempel Adanos eingedrungen.","Хтось вдерся до Храму Аданоса.","","False","DIA_Addon_Quarhodron_Hello.DIA_Addon_Quarhodron_Hello_raven","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:59","Gewähre mir Zugang zum Tempel Adanos.","Надай мені доступ до Храму Аданоса.","","False","DIA_Addon_Quarhodron_Hello.DIA_Addon_Quarhodron_Hello_tempel","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:60","Das Land wird von Erdbeben heimgesucht.","Країна страждає від землетрусів.","","False","DIA_Addon_Quarhodron_Hello.DIA_Addon_Quarhodron_Hello_erdbeben","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:67","Bengla anthani, Osiri?","Бенгла антані, Осірі?","","False","DIA_Addon_Quarhodron_Hello_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:69","(laut) Bengla anthani?","(голосно) Бенґла антані?","","False","DIA_Addon_Quarhodron_Hello_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:81","Die gepriesene Weisheit der Ahnen ist geradezu überwältigend.","Славетна мудрість предків просто вражає.","","False","DIA_Addon_Quarhodron_Hello.DIA_Addon_Quarhodron_Hello_frech","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:88","Das Land wird von Erdbeben heimgesucht. Wir müssen etwas unternehmen, sonst wird die ganze Insel im Meer versinken.","Країна страждає від землетрусів. Ми мусимо щось робити, інакше весь острів зануриться в море.","","False","DIA_Addon_Quarhodron_Hello_erdbeben_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:89","Es gibt nichts, was wir noch tun könnten.","Ми нічого не можемо зробити.","","False","DIA_Addon_Quarhodron_Hello_erdbeben_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:90","Adanos' Zorn ist über Jharkendar gekommen, um die Ungläubigen zu vernichten.","Гнів Аданоса впав на Яркендар, щоб знищити невірних.","","False","DIA_Addon_Quarhodron_Hello_erdbeben_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:97","Jemand ist in den Tempel Adanos' eingedrungen.","Хтось вдерся до Храму Аданоса.","","False","DIA_Addon_Quarhodron_Hello_raven_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:98","Unsinn. Ich selbst habe das Tor verriegelt. Es ist unmöglich zu passieren.","Нісенітниця. Я сам зачинив браму. Подолати її неможливо.","","False","DIA_Addon_Quarhodron_Hello_raven_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:99","Tatsächlich?","Та невже?","","False","DIA_Addon_Quarhodron_Hello_raven_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:106","Gewähre mir Zugang zum Tempel Adanos'.","Дозволь мені увійти до Храму Аданоса.","","False","DIA_Addon_Quarhodron_Hello_tempel_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:107","Der Tempel bleibt verschlossen bis in alle Ewigkeit. So wie der Rat es entschieden hat.","Храм залишатиметься закритим навіки. Так вирішила Рада.","","False","DIA_Addon_Quarhodron_Hello_tempel_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:114","Was befindet sich im Tempel Adanos'?","Що знаходиться в Храмі Аданоса?","","False","DIA_Addon_Quarhodron_Hello_schwert_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:115","Mein größtes Leid, meine größte Enttäuschung.","Моє найбільше горе, моє найбільше розчарування.","","False","DIA_Addon_Quarhodron_Hello_schwert_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:122","Die gepriesene Weisheit der Ahnen ist geradezu überwältigend.","Славетна мудрість предків просто вражає.","","False","DIA_Addon_Quarhodron_Hello_frech_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:123","Ein Mann deines Standes spricht nicht so mit mir.","Людина твого статусу не може так зі мною розмовляти.","","False","DIA_Addon_Quarhodron_Hello_frech_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:124","Ich kann mich des Eindrucks nicht erwehren, dass du nicht der bist, der du vorgibst zu sein.","Я не можу позбутися враження, що ти не той, за кого себе видаєш.","","False","DIA_Addon_Quarhodron_Hello_frech_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:125","Wenn du meiner Hilfe bedarfst, hast du mir erst Zeugnis über dich selbst abzulegen.","Якщо ти потребуєш моєї допомоги, спочатку тобі доведеться довести свої добрі наміри.","","False","DIA_Addon_Quarhodron_Hello_frech_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:126","Beantworte meine Fragen, damit ich Gewissheit habe, mich keinem Fremden zu offenbaren.","Дай відповіді на мої запитання, щоб я був впевнений, що не відкриваюся чужинцю.","","False","DIA_Addon_Quarhodron_Hello_frech_11_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:145","Stell deine Fragen.","Став свої питання.","","False","DIA_Addon_Quarhodron_Fragen.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:164","Deine Antworten sind so falsch wie deine Absichten.","Твої відповіді так само невірні, як і твої наміри.","","False","DIA_Addon_Quarhodron_TestFailed_11_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:165","Ich werde dir nicht helfen.","Я тобі не допомагатиму.","","False","DIA_Addon_Quarhodron_TestFailed_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:182","Das glaube ich dir nicht.","Я тобі не вірю.","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:183","Ich denke, du kommst erst wieder, wenn du dich dazu entschließt, mir die Wahrheit zu sagen.","Повертайся тільки тоді, коли вирішиш сказати мені правду.","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:192","(nachdenklich) Die Fähigkeiten eines Totenwächter hätten es dir ermöglicht, mich zu erwecken, das ist wahr.","(вдумливо) Здібності вартового мертвих дозволили б тобі пробудити мене, це правда.","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:193","Wenn du wirklich der bist, der du vorgibst zu sein, wirst du alle meine Fragen beantworten können.","Якщо ти дійсно той, за кого себе видаєш, ти зможеш відповісти на всі мої запитання.","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:194","Bis auf eine ...","За винятком одного...","","False","DIA_Addon_Quarhodron_Add_11_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:204","Wer hat das Portal verschlossen, um die Welt vor dem Bösen zu schützen?","Хто закрив портал, щоб захистити світ від зла?","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:210","Wer lindert das Leid und versorgt die Kranken?","Хто полегшує страждання і доглядає за хворими?","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:216","Wer hat das letzte Wort im Rat der Fünf?","Хто має останнє слово в Раді П'яти?","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_06","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_NONE_111_Quarhodron.d:222","Wer ist Schuld am dem Übel, das über uns gekommen ist?","Хто приніс зло, яке на нас навалилося?","","False","DIA_Addon_Quarhodron_Fragen_Choices_11_07","",""
