"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:8","Rattenjagd","Полювання на щурів","","","TOPIC_Addon_RatHunt","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:9","Alligator Jack kann Hilfe bei der Jagd gebrauchen.","Алігатору Джеку не завадила б допомога на полюванні.","","False","TOPIC_Addon_RatHunt_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:10","Das einzige, was hier in der Gegend genießbar sein soll, sind Sumpfratten.","Єдине, що вважається їстівним у цій місцевості - болотні щури.","","False","TOPIC_Addon_RatHunt_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:11","Die Jagd war erfolgreich. Wir haben mehrere Sumpfratten erlegt.","Полювання було вдалим. Ми вбили кілька болотяних щурів.","","False","TOPIC_Addon_RatHunt_3","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:13","Fleisch für Morgan","М'ясо для Моргана","","","TOPIC_Addon_BringMeat","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:14","Alligator Jack hat mir 10 Stücke Fleisch gegeben. Ich soll sie zu Morgan bringen.","Алігатор Джек дав мені 10 шматків м'яса. Він хоче, щоб я відніс їх Моргану.","","False","TOPIC_Addon_BringMeat_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:15","Ich habe Morgan sein Fleisch gebracht.","Я приніс Моргану м'ясо.","","False","TOPIC_Addon_BringMeat_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:17","Der Turm","Башта","","","TOPIC_Addon_BanditsTower","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:18","Ein paar Banditen haben den Turm südlich des Piratenlagers besetzt und sich dort verschanzt.","Кілька бандитів зайняли вежу на південь від піратського табору і закріпилися там.","","False","TOPIC_Addon_BanditsTower_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:19","Die Banditen aus dem Turm sind tot.","Бандити з вежі мертві.","","False","TOPIC_Addon_BanditsTower_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:20","Henry will, dass ich die Banditen aus dem Turm vertreibe. Er kann mir keine Unterstüzung geben.","Генрі хоче, щоб я вигнав бандитів з вежі. Він не може надати мені ніякої підтримки.","","False","TOPIC_Addon_BanditsTower_3","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:21","Henry will, dass ich die Banditen aus dem Turm vertreibe. Ich soll mir einen seiner Jungs mitnehmen.","Генрі хоче, щоб я вигнав бандитів з вежі. Він хоче, щоб я взяв з собою одного з його хлопців.","","False","TOPIC_Addon_BanditsTower_4","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:22","Greg will, dass ich die Banditen aus dem Turm südlich des Lagers vertreibe.","Ґреґ хоче, щоб я вигнав бандитів з вежі на південь від табору.","","False","TOPIC_Addon_BanditsTower_5","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:23","Die Banditen aus dem Turm sind tot. Greg war sehr zufrieden mit mir.","Бандити з вежі мертві. Ґреґ був мною дуже задоволений.","","False","TOPIC_Addon_BanditsTower_6","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:25","Holz für die Palisade","Дерево для частоколу","","","TOPIC_Addon_HolOwen","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:26","Henry wartet auf das Holz für die Palisade. Ich soll Owen benachrichtigen. Er ist mit Malcom zusammen beim Talkessel.","Генрі чекає на деревину для частоколу. Він хоче, щоб я повідомив Оуена. Він з Малкольмом біля басейну.","","False","TOPIC_Addon_HolOwen_1","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:27","Owen und Malcom sind beide tot.","Оуен і Малкольм мертві.","","False","TOPIC_Addon_HolOwen_2","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:28","Owen wird Henry das Holz bringen.","Оуен принесе Генрі дрова.","","False","TOPIC_Addon_HolOwen_3","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:29","Ich soll Henry ausrichten, dass Owen das Holz liefern wird.","Треба сказати Генрі, що Оуен принесе дрова.","","False","TOPIC_Addon_HolOwen_4","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:31","Garetts Kompass","Компас Гаретта","","","TOPIC_Addon_Kompass","",""
"Scripts/Content/Story/Log_Entries/LOG_Constants_Hoshi.d:32","Greg hat Garret einen wertvollen Kompass abgenommen. Garett vermutet, dass er ihn irgendwo am südlichen Strand verbuddelt hat.","Ґреґ забрав у Ґарета цінний компас. Ґарет підозрює, що той закопав його десь на південному пляжі.","","False","TOPIC_Addon_Kompass_1","",""
