"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:327","Für den König!","Хай живе Король!","","","SVM_1_MILGreetings","",""
"Scripts/Content/Story/SVM.d:328","Für Innos!","Слава Інносу!","","","SVM_1_PALGreetings","",""
"Scripts/Content/Story/SVM.d:329","So ein Mistwetter!","Яка ж паскудна погода!","","","SVM_1_Weather","",""
"Scripts/Content/Story/SVM.d:331","Krieg ich dich DOCH noch!","І все ж, ти від мене не вислизнеш!","","","SVM_1_IGetYouStill","",""
"Scripts/Content/Story/SVM.d:332","Jetzt bist du dran!","Ти догрався!","","","SVM_1_DieEnemy","",""
"Scripts/Content/Story/SVM.d:333","Da ist wieder eins von diesen Drecksviechern!","Знову один із тих дурних звірів!","","","SVM_1_DieMonster","",""
"Scripts/Content/Story/SVM.d:334","Na warte, du dreckiger Dieb!","Тільки зачекай, ти, паршивий злодію!","","","SVM_1_DirtyThief","",""
"Scripts/Content/Story/SVM.d:335","Finger weg da!","Руки геть!","","","SVM_1_HandsOff","",""
"Scripts/Content/Story/SVM.d:336","Der Mistkerl schlachtet unsere Schafe!","Ця сволота ріже наших овець!","","","SVM_1_SheepKiller","",""
"Scripts/Content/Story/SVM.d:337","Das verdammte Mistvieh frisst unsere Schafe!","Ця клята потвора жере наших овець!","","","SVM_1_SheepKillerMonster","",""
"Scripts/Content/Story/SVM.d:338","Mörder!","Вбивця!","","","SVM_1_YouMurderer","",""
"Scripts/Content/Story/SVM.d:339","Hier kommen keine Viecher rein!","Жоден звір не має права тут бути!","","","SVM_1_DieStupidBeast","",""
"Scripts/Content/Story/SVM.d:340","Na warte, du Mistkerl!","Зачекай, погане!","","","SVM_1_YouDareHitMe","",""
"Scripts/Content/Story/SVM.d:341","Du hast es so gewollt!","Ти сам напросився!","","","SVM_1_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:342","Dann muss ich dich eben rausprügeln!","В такому разі мені доведеться тебе вигнати звідси!","","","SVM_1_ThenIBeatYouOutOfHere","",""
"Scripts/Content/Story/SVM.d:343","Was hattest DU denn da drin zu suchen, he!?","А що ти там шукав, га?!","","","SVM_1_WhatDidYouDoInThere","",""
"Scripts/Content/Story/SVM.d:344","Wollt ihr wohl damit aufhören!?","Ти нарешті вгамуєшся?!","","","SVM_1_WillYouStopFighting","",""
"Scripts/Content/Story/SVM.d:346","Stirb, Mistkerl!","Помри, гнидо!","","","SVM_1_KillEnemy","",""
"Scripts/Content/Story/SVM.d:347","Das war's für dich, Penner.","Це твій кінець, волоцюго!","","","SVM_1_EnemyKilled","",""
"Scripts/Content/Story/SVM.d:348","Ein Mistvieh weniger!","Однією тварюкою менше!","","","SVM_1_MonsterKilled","",""
"Scripts/Content/Story/SVM.d:349","Versuch nie wieder, mich zu bestehlen!","Ніколи більше не намагайся мене обкрадати!","","","SVM_1_ThiefDown","",""
"Scripts/Content/Story/SVM.d:350","Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!","В майбутньому тримайся подалі від чужих справ.","","","SVM_1_rumfummlerDown","",""
"Scripts/Content/Story/SVM.d:351","Tu das nie wieder! Das sind unsere Schafe!","Ніколи більше так не роби! Це НАШІ вівці!","","","SVM_1_SheepAttackerDown","",""
"Scripts/Content/Story/SVM.d:352","Stirb, Mörder!","Помри, вбивце!","","","SVM_1_KillMurderer","",""
"Scripts/Content/Story/SVM.d:353","So ein saublödes Vieh!","Що за дурна тварюка!","","","SVM_1_StupidBeastKilled","",""
"Scripts/Content/Story/SVM.d:354","Leg dich nie wieder mit mir an!","Ніколи більше не зв'язуйся зі мною!","","","SVM_1_NeverHitMeAgain","",""
"Scripts/Content/Story/SVM.d:355","Du hättest auf mich hören sollen!","Треба було мене слухати!","","","SVM_1_YouBetterShouldHaveListened","",""
"Scripts/Content/Story/SVM.d:356","Und jetzt mach, dass du hier rauskommst!","А тепер геть звідси!","","","SVM_1_GetUpAndBeGone","",""
"Scripts/Content/Story/SVM.d:357","Und dass ich dich nie wieder da drin erwische!","І щоб я ніколи більше тебе там не застав!","","","SVM_1_NeverEnterRoomAgain","",""
"Scripts/Content/Story/SVM.d:358","Hier wird nicht gekämpft, klar!? Lass dir das eine Lehre sein!","Більше жодних бійок, ясно?! Нехай це буде тобі уроком!","","","SVM_1_ThereIsNoFightingHere","",""
"Scripts/Content/Story/SVM.d:360","Lass mich bloß in Ruhe!","Залиш мене в спокої!","","","SVM_1_SpareMe","",""
"Scripts/Content/Story/SVM.d:361","Scheiße! Nichts wie weg!","До біса! Треба драпати!","","","SVM_1_RunAway","",""
"Scripts/Content/Story/SVM.d:363","ALARM!","ТРИВОГА!","","","SVM_1_Alarm","",""
"Scripts/Content/Story/SVM.d:364","WACHE!","ВАРТО!","","","SVM_1_Guards","",""
"Scripts/Content/Story/SVM.d:365","Hilfe!","Допоможіть!","","","SVM_1_Help","",""
"Scripts/Content/Story/SVM.d:367","(ruft zu) Gut gemacht - ein Drecksvieh weniger!","(окликає) Хороша робота — однією тварюкою менше!","","False","SVM_1_GoodMonsterKill","",""
"Scripts/Content/Story/SVM.d:368","(ruft) Ja, mach das Schwein fertig!","(галасує) Чудово! Добий свиню!","","","SVM_1_GoodKill","",""
"Scripts/Content/Story/SVM.d:370","Lass mich in Ruhe!","Залиш мене в спокої!","","","SVM_1_NOTNOW","",""
"Scripts/Content/Story/SVM.d:372","(ruft laut) Bleib stehen, du Lump!","(голосно окрикує) Стій, сміття!","","","SVM_1_RunCoward","",""
"Scripts/Content/Story/SVM.d:374","Raus hier!","Пішов геть!","","","SVM_1_GetOutOfHere","",""
"Scripts/Content/Story/SVM.d:375","Was suchst du hier!? Geh!","Що ти тут шукаєш? Вимітайся!","","","SVM_1_WhyAreYouInHere","",""
"Scripts/Content/Story/SVM.d:376","Ja, mach, dass du wegkommst!","Так, забирайся!","","","SVM_1_YesGoOutOfHere","",""
"Scripts/Content/Story/SVM.d:378","Hey du! Was schleichst du da rum.","Гей, ти! Що ти тут робиш?","","","SVM_1_WhatsThisSupposedToBe","",""
"Scripts/Content/Story/SVM.d:379","(wacht auf) Verdammt, was ist los?","(прокидається) Прокляття, що відбувається?","","","SVM_1_YouDisturbedMySlumber","",""
