"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:70","Wieder bei der Arbeit?","回 来 继 续 工 作 ？","","False","DIA_Addon_Finn_Hacker.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:83","Wieder bei der Arbeit?","回 来 继 续 工 作 ？","","False","DIA_Addon_BDT_10004_Finn_Hacker_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:84","Ja, jetzt hole ich auch noch das letzte Stück Gold aus dieser Mine.","是 的 ， 我 要 把 这 个 矿 坑 里 最 后 一 片 金 子 拿 出 来 。","","False","DIA_Addon_BDT_10004_Finn_Hacker_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:109","Hi!","嗨 ！","","False","DIA_Addon_BDT_10004_Finn_Hi_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:110","(brummig) Was willst du?","（ 粗 暴 的 ） 你 想 要 什 么 ？","","False","DIA_Addon_BDT_10004_Finn_Hi_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:122","Wo kriege ich 'ne Spitzhacke her?","我 从 哪 里 找 到 十 字 镐 ？","","False","DIA_Addon_Finn_Hacke.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:132","Wo kriege ich 'ne Spitzhacke her?","我 从 哪 里 找 到 十 字 镐 ？","","False","DIA_Addon_Finn_Hacke_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:133","Geh zu Huno dem Schmied. Aber selbst wenn du eine Hacke hast, heißt das noch nicht, dass du auch in die Mine kommst.","去 找 铁 匠 胡 诺 。 但 是 即 使 你 拿 到 了 十 字 镐 ， 也 不 代 表 你 能 进 入 矿 井 。","","False","DIA_Addon_Finn_Hacke_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:134","Wenn du rein willst, musst du mit Esteban sprechen.","如 果 你 想 进 去 ， 你 必 须 同 伊 斯 特 班 谈 谈 。","","False","DIA_Addon_Finn_Hacke_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:135","Zu Thorus brauchst du gar nicht erst zu gehen - der lässt dich nur rein, wenn du 'nen roten Stein hast.","别 去 烦 托 鲁 斯 - 只 有 当 你 拥 有 一 块 红 石 头 的 时 候 ， 他 才 会 让 你 进 去 。","","False","DIA_Addon_Finn_Hacke_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:147","Sag mal, was hältst du von Esteban?","告 诉 我 ， 对 于 伊 斯 特 班 你 怎 么 看 ？","","False","DIA_Addon_Finn_Esteban.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:160","Sag mal, was hältst du von Esteban?","告 诉 我 ， 对 于 伊 斯 特 班 你 怎 么 看 ？","","False","DIA_Addon_Finn_Esteban_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:161","(vorsichtig) Er ist der Boss hier ... er ... ist ganz okay, denke ich.","（ 小 心 的 ） 他 是 这 里 的 头 … … 他 是 … … 好 吧 ， 我 认 为 是 。","","False","DIA_Addon_Finn_Esteban_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:162","(zögernd) Die guten Jungs lässt er immer in die Mine. Die was vom Schürfen verstehen, meine ich.","（ 吞 吞 吐 吐 ） 他 只 让 优 秀 的 人 进 入 矿 井 。 我 是 说 ， 那 些 人 必 须 知 道 如 何 采 矿 。","","False","DIA_Addon_Finn_Esteban_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:174","Und du verstehst was vom Schürfen?","你 知 道 关 于 采 矿 的 事 情 吗 ？","","False","DIA_Addon_Finn_Profi.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:187","Und du verstehst was vom Schürfen?","你 知 道 关 于 采 矿 的 事 情 吗 ？","","False","DIA_Addon_Finn_Profi_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:188","Ich bin der Beste!","我 是 最 好 的 ！","","False","DIA_Addon_Finn_Profi_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:217","Alles klar, Chef. Du willst den Besten in der Mine sehen? Dann will ich mal wieder ...","当 然 ， 头 儿 。 你 想 看 到 矿 井 里 最 棒 的 ？ 那 我 马 上 去 办 … …","","False","DIA_Addon_BDT_10004_Finn_Mine_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:219","Ach, noch was. Ich verrate dir mal ein Buddlergeheimnis.","哦 ， 其 它 事 情 。 我 会 让 你 分 享 一 个 矿 工 的 秘 密 。","","False","DIA_Addon_BDT_10004_Finn_Mine_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:220","Ab und zu bietet es sich an, einen Trümmerschlag anzusetzen.","偶 尔 来 说 猛 击 一 下 也 不 错 。","","False","DIA_Addon_BDT_10004_Finn_Mine_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:221","Wenn du ein paar mal gehackt hast und es ist nichts dabei rumgekommen, dann zieh die Spitze der Hacke quer über den Fels.","如 果 在 挖 了 一 段 时 间 却 什 么 都 没 挖 到 的 话 ， 那 就 换 个 地 方 ， 从 岩 石 后 面 下 十 字 镐 。","","False","DIA_Addon_BDT_10004_Finn_Mine_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:222","Mit etwas Glück kriegst du so gleich mehrere Brocken.","如 果 有 一 点 运 气 的 话 ， 你 那 样 可 以 一 次 得 到 几 块 。","","False","DIA_Addon_BDT_10004_Finn_Mine_07_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:256","Na, da gibt's einiges zu wissen. Gold ist kein Erz. Das ist ein verdammt wichtiger Unterschied.","嗯 ， 有 一 些 事 情 你 必 须 要 了 解 ， 金 子 不 是 矿 石 。 它 们 之 间 有 很 大 的 不 同 。","","False","DIA_Addon_Finn_Gold_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:257","Ich meine, welche Frau hängt sich schon 'ne Kette aus Erz um den Hals? (lacht)","我 是 说 ， 哪 个 女 人 愿 意 她 的 脖 子 上 挂 一 大 串 矿 石 ？ （ 大 笑 ）","","False","DIA_Addon_Finn_Gold_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:258","Beim Hacken arbeitet man von oben nach unten. So kannst du die Nuggets am besten freilegen.","在 挖 掘 的 时 候 ， 从 顶 挖 到 底 。 那 样 你 可 以 轻 松 地 挖 动 金 矿 石 。","","False","DIA_Addon_Finn_Gold_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:259","Es gibt auch Buddler, die es umgekehrt machen - aber das ist ungleich schwieriger.","也 有 矿 工 使 用 其 它 的 方 式 来 做 - 不 过 那 更 加 困 难 。","","False","DIA_Addon_Finn_Gold_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:274","Kannst du meine Fähigkeit im Goldhacken einschätzen?","你 能 判 断 我 挖 金 子 的 能 力 吗 ？","","False","DIA_Addon_Finn_ein.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:289","Kannst du meine Fähigkeit im Goldhacken einschätzen?","你 能 判 断 我 挖 金 子 的 能 力 吗 ？","","False","DIA_Addon_Finn_ein_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:293","Klar. Ich mache das schon seit über 35 Jahren. Es gibt nichts, das ich nicht erkenne!","当 然 。 我 已 经 干 了35年 。 没 有 我 不 能 评 估 的 ！","","False","DIA_Addon_Finn_ein_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:297","Bei dir würde ich sagen, du bist ein ...","对 于 你 ， 我 要 说 你 是 … …","","False","DIA_Addon_Finn_ein_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:301","blutiger Anfänger.","绝 对 的 初 学 者 。","","False","DIA_Addon_Finn_ein_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:305","ganz passabler Schürfer.","一 个 过 得 去 的 矿 工 。","","False","DIA_Addon_Finn_ein_07_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:309","erfahrener Goldschürfer.","老 练 的 金 矿 矿 工 。","","False","DIA_Addon_Finn_ein_07_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:313","wachechter Buddler.","一 个 名 副 其 实 的 矿 工 。","","False","DIA_Addon_Finn_ein_07_06","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:317","verdammt guter Buddler.","一 个 非 常 出 色 的 矿 工 。","","False","DIA_Addon_Finn_ein_07_07","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:321","Meister Buddler.","一 个 专 家 级 的 矿 工 。","","False","DIA_Addon_Finn_ein_07_08","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:325","Guru - unter den Buddlern.","一 个 大 师 级 的 矿 工 。","","False","DIA_Addon_Finn_ein_07_09","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:329","Damit bist du jetzt so gut wie ich. Herzlichen Glückwunsch, Partner!","现 在 你 和 我 一 样 出 色 。 祝 贺 你 ， 伙 伴 。","","False","DIA_Addon_Finn_ein_07_10","",""
