"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_DMT_1200_Dementor.d:56","Wir wussten, dass du kommen wirst!","我 们 知 道 你 会 来 的 ！","","False","DIA_BridgeDementor_19_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1200_Dementor.d:57","Mein Meister wird triumphieren und die Herrschaft der Welt an sich reißen.","我 的 主 人 一 定 会 胜 利 ， 并 将 整 个 世 界 置 于 他 的 统 治 之 下 。","","False","DIA_BridgeDementor_19_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1200_Dementor.d:58","Du törichter Narr, du hast nicht gewusst, mit wem du dich anlegst, und dafür werde ich dich hier und jetzt bestrafen!","你 这 误 入 歧 途 的 傻 瓜 ！ 你 不 知 道 你 正 在 和 谁 对 抗 ， 而 我 马 上 就 要 惩 罚 你 ！","","False","DIA_BridgeDementor_19_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:21","Du schleimiger Wurm wagst es also tatsächlich, bis vor die Tore des Meisters zu treten.","那 么 你 这 讨 厌 的 可 怜 虫 ， 你 真 的 胆 敢 来 到 主 人 的 门 前 。","","False","DIA_Schwarzmagier_HELLO_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:22","Bist du hier der Drahtzieher?","你 就 是 那 个 在 幕 后 操 纵 的 人 ？","","False","DIA_Schwarzmagier_HELLO_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:23","Ich bin der Wächter der Hallen von Irdorath. Die mächtigste Quelle Beliars Macht auf Erden. Durch meine Hände fließt die göttliche Kraft des Meisters.","我 是 伊 尔 多 拉 斯 大 厅 的 守 护 者 。 世 上 最 强 的 贝 利 尔 力 量 的 源 泉 。 主 人 的 神 力 在 我 手 中 流 淌 。","","False","DIA_Schwarzmagier_HELLO_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:24","Nur ein Wort von mir und du wirst auf ewig dem Wahnsinn verfallen.","只 要 我 说 一 句 话 ， 你 将 会 坠 入 永 恒 的 疯 狂 。","","False","DIA_Schwarzmagier_HELLO_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:25","Verstehe. Noch so ein Unterhändler, den ich aus dem Weg räumen muss.","我 明 白 。 我 想 我 必 须 消 灭 另 外 一 个 中 间 人 。","","False","DIA_Schwarzmagier_HELLO_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:31","Bring mich zu deinem Meister.","把 我 带 到 你 的 主 人 那 里 去 。","","False","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_meister","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:32","Wieviel von eurer Sorte muß ich denn noch töten?","我 还 要 杀 多 少 像 你 们 这 样 的 人 ？","","False","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_dmt","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_DMT_1299_OberDementor_DI.d:33","Was verbirgt sich dort hinter dem großen Tor?","在 那 里 那 扇 巨 大 的 传 送 门 后 面 隐 藏 着 什 么 ？","","False","DIA_Schwarzmagier_HELLO.DIA_Schwarzmagier_HELLO_hinterTor","Info_AddChoice",""
