"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:11","Die Prüfung des Feuers","火 焰 测 试","","False","Bookstand_01_S1_1","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:12","So ein Novize nicht erwählt ist, mag es sein, das er trotzdem die Bereitschaft verspürt sich der Prüfung der Magie zu unterwerfen. Wenn er diesen Entschluß reiflich überlegt hat und er darauf besteht, ist es ihm gewährt, die Prüfung zu verlangen und kein Magier darf sie ihm verweigern. Doch nicht nur die Prüfung der Magie wird ihm auferlegt, sondern er soll durch das Feuer seine Erleuchtung finden. Wenn er vor dem hohen Rat darauf besteht, so soll ihm die PRÜFUNG DES FEUERS gewährt werden.","虽 然 一 个 学 徒 可 能 觉 得 已 经 做 好 准 备 申 请 魔 法 测 试 ， 他 还 不 见 得 会 被 选 中 。 无 论 如 何 ， 如 果 他 的 决 定 经 过 充 分 考 虑 ， 并 且 他 坚 持 的 话 ， 他 有 权 力 要 求 测 试 ， 并 且 没 有 魔 法 师 会 拒 绝 他 。 但 是 他 不 仅 仅 要 通 过 魔 法 测 试 ， 他 还 必 须 通 过 火 焰 得 到 启 迪 。 如 果 他 在 高 级 议 会 前 坚 持 的 话 ， 他 将 参 加 火 焰 测 试 。","","False","Bookstand_01_S1_2","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:13","In dieser Prüfung soll gleichermaßen die Klugheit, Stärke und das Geschick des Novizen gefordert werden. So soll er drei Prüfungen erfüllen, jede empfangen durch einen der Magier des hohen Rates, bevor er den Eid der Flamme schwört und den Bund mit dem Feuer eingehen kann. ","测 试 将 会 挑 战 这 个 学 徒 的 智 慧 、 力 量 和 敏 捷 。 因 此 他 必 须 通 过 三 项 考 验 ， 在 与 火 焰 立 下 ‘ 火 焰 誓 言 ’ 契 约 之 前 ， 每 一 项 测 试 都 由 高 级 议 会 的 一 名 魔 法 师 为 他 安 排 。 ","","False","Bookstand_01_S1_3","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:14","So ist es Innos Wille und so soll es geschehen. ","这 是 英 诺 斯 的 意 愿 ， 因 此 必 须 这 样 做 。 ","","False","Bookstand_01_S1_4","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:15","Der hohe Rat","高 级 议 会","","False","Bookstand_01_S1_5","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:69","...Ich hoffe, dass die Kuppel das Erz vor dem Zugriff Beliars zu schützen vermag. Der König ist einfältig genug zu glauben, dass wir die Kuppel zum Schutz vor Ausbrüchen errichten, doch solange wir mit diesen Ratschlagen unsere höheren Zeile erreichen, soll es uns recht sein. Ich hoffe, das uns genug Zeit bleibt uns auf den Kampf vorzubereiten. Sobald die Kuppel um das Minental erschaffen ist, werde ich mit all meiner mir zur Verfügung stehenden Macht versuchen in den bevorstehenden Kampf einzugreifen. ","… … 我 希 望 穹 窿 可 以 保 护 矿 石 不 受 贝 利 尔 的 威 胁 。 国 王 太 天 真 了 ， 以 为 我 们 修 建 穹 窿 是 为 了 防 止 破 坏 。 嗯 ， 只 要 这 条 计 策 继 续 下 去 ， 我 们 就 可 以 完 成 进 一 步 的 目 标 。 我 只 能 希 望 我 们 还 有 足 够 的 时 间 为 战 斗 做 好 准 备 。 只 要 矿 藏 山 谷 四 周 的 穹 窿 一 建 好 ， 我 就 要 调 用 所 有 能 够 调 用 的 力 量 来 阻 止 战 斗 。 ","","False","FINALDRAGONEQUIPMENT_S1_1","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:70","...ich habe, genau nach Anleitung einfach Innos geweihtes Wasser auf einen Runenrohling geträufelt und am Runentisch zusammengeführt. Der Runenstein ist zerstört, ich glaube, dieser Spruch ist wirklich nur dem Einen zugänglich.","… … 我 按 照 说 明 ， 把 英 诺 斯 的 圣 水 倒 在 咒 语 台 上 的 空 白 咒 语 石 里 。 咒 语 石 被 毁 掉 了 。 我 猜 测 这 个 魔 法 真 的 只 有 ‘ 天 选 者 ’ 才 能 施 展 。","","False","FINALDRAGONEQUIPMENT_S1_2","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:71","Die Heilige Aura Innos habe ich dem Klosterschtz übergeben. Sie wird von nun an, vom Klostervorsteher aufbewahrt, bis zu dem Tag, an dem sich der Eine offenbart.","我 把 英 诺 斯 的 神 圣 光 环 留 下 保 护 修 道 院 。 在 天 选 者 出 现 前 ， 修 道 院 能 够 保 全 自 己 。","","False","FINALDRAGONEQUIPMENT_S1_3","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:72","Die Tränen Innos mögen in dem bevorstehenden Kampf eine Rolle spielen. Doch ist es wohl zu gefährlich sie offen aufzubewahren. Ich werde sie hier in der Bibliothek lassen.","英 诺 斯 之 泪 可 能 在 将 来 的 战 斗 中 起 到 重 要 的 作 用 。 但 是 把 它 放 在 所 有 人 都 能 看 到 的 地 方 太 危 险 了 。 我 最 好 把 它 们 放 在 图 书 馆 这 里 。","","False","FINALDRAGONEQUIPMENT_S1_4","",""
"Scripts/Content/Story/Dialog_Mobsis/Bookstand.d:73","Um in den geheimen Ort zu gelangen muss man eine Teleportrune bauen. Dazu benötigst du einen Runenrohling und eine kleines Fläschchen geweihtes Wasser. Mit der erstellten Runen kannst du dich in den Raum teleporteiren.","你 必 须 制 造 一 个 传 送 咒 语 咒 语 抵 达 那 个 秘 密 的 地 方 。 为 此 ， 你 需 要 一 块 空 白 的 咒 语 石 和 一 小 瓶 圣 水 。 你 可 以 使 用 这 个 咒 语 传 送 到 房 间 里 面 去 。","","False","FINALDRAGONEQUIPMENT_S1_5","",""
