"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:43","Willkommen beim Kloster Innos', Fremder.","欢迎来到英诺斯遗迹，陌生人。","","False","DIA_Pedro_WELCOME_09_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:44","Ich bin Bruder Pedro, ein demütiger Diener Innos' und Wächter der Pforte des heiligen Klosters.","我 是 比 德 罗 修 士 ， 一 个 谦 卑 的 英 诺 斯 的 仆 人 ， 神 圣 的 修 道 院 的 看 门 人 。","","False","DIA_Pedro_WELCOME_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:45","Was ist dein Begehr?","你 需 要 的 是 什 么 ？","","False","DIA_Pedro_WELCOME_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:57","Iß mal 'ne Wurst, Bruder!","给 ， 拿 一 根 香 肠 ， 兄 弟 ！","","False","DIA_Pedro_Wurst.description","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:73","Iß mal 'ne Wurst, Bruder!","给 ， 拿 一 根 香 肠 ， 兄 弟 ！","","False","DIA_Pedro_Wurst_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:74","Gut, dass du an mich gedacht hast. Meistens werde ich vergessen.","你 能 想 起 我 真 好 。 我 总 是 被 遗 忘 。","","False","DIA_Pedro_Wurst_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:75","Du kannst mir direkt mal noch eine Wurst hier lassen.","你 能 再 给 我 一 根 香 肠 吗 。","","False","DIA_Pedro_Wurst_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:76","Vergiss es, dann habe ich nicht mehr genug.","不 行 ， 那 样 我 就 不 够 了 。","","False","DIA_Pedro_Wurst_15_03","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:77","Hey, eine Wurst - das merkt kein Schwein. Du kriegst auch was dafür - ich weiß, wo ein paar Feuernesseln wachsen.","嘿 ， 一 根 香 肠 - 没 人 会 留 意 到 的 。 我 用 东 西 来 换 - 我 知 道 一 个 生 长 着 火 荨 麻 的 地 方 。","","False","DIA_Pedro_Wurst_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:78","Wenn du die Neoras bringst, kriegst du bestimmt den Schlüssel zur Bibliothek. Wie sieht's aus?","如 果 你 把 它 们 交 给 尼 欧 莱 斯 ， 他 一 定 会 给 你 图 书 馆 的 钥 匙 。 你 说 呢 ？","","False","DIA_Pedro_Wurst_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:93","Okay, nimm noch eine Wurst.","好 吧 ， 再 拿 一 根 香 肠 。","","False","DIA_Pedro_Wurst.DIA_Pedro_Wurst_JA","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:94","Nein, vergiss es.","不 ， 算 了 吧 。","","False","DIA_Pedro_Wurst.DIA_Pedro_Wurst_NEIN","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:99","Okay, nimm noch eine Wurst.","好 吧 ， 再 拿 一 根 香 肠 。","","False","DIA_Pedro_Wurst_JA_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:100","Gut, auf der anderen Seite der Brücke wachsen links und rechts einige Feuernesseln.","好 吧 。 在 桥 的 另 一 侧 ， 左 边 、 右 边 都 长 着 一 些 火 荨 麻 。","","False","DIA_Pedro_Wurst_JA_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:107","Nein, vergiss es.","不 ， 算 了 吧 。","","False","DIA_Pedro_Wurst_NEIN_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:108","Du willst dich wohl bei Gorax beliebt machen, was? Immer das gleiche mit den neuen Novizen ...","你 想 要 和 高 莱 克 斯 搞 好 关 系 ， 嗯 ？ 新 信 徒 总 是 这 样 … …","","False","DIA_Pedro_Wurst_NEIN_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:122","Ich will ins Kloster","我 要 进 入 修 道 院 。","","False","DIA_Pedro_EINLASS.description","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:135","Ich will ins Kloster.","我 要 进 入 修 道 院 。","","False","DIA_Pedro_EINLASS_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:136","Es ist nur den Dienern Innos' gestattet, das Kloster zu betreten.","只 有 英 诺 斯 的 仆 人 才 能 进 入 修 道 院 。","","False","DIA_Pedro_EINLASS_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:137","Wenn du zu Innos beten willst, dann suche einen der Wegschreine auf. Dort wirst du Stille zum Gebet finden.","如 果 你 想 要 向 英 诺 斯 祈 祷 ， 去 找 一 个 路 边 的 神 龛 。 在 那 里 祈 祷 你 将 得 到 宁 静 。","","False","DIA_Pedro_EINLASS_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:149","Was muss ich tun, um im Kloster aufgenommen zu werden?","我 要 怎 么 做 修 道 院 才 能 相 信 我 ？","","False","DIA_Pedro_TEMPEL.description","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:166","Was muss ich tun, um im Kloster aufgenommen zu werden?","我 要 怎 么 做 修 道 院 才 能 相 信 我 ？","","False","DIA_Pedro_TEMPEL_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:170","Die Aufnahme ins Kloster bleibt dir verwehrt - du hast dich bereits für einen Weg entschieden.","你 不 能 加 入 修 道 院 - 你 已 经 选 择 了 一 个 方 向 。","","False","DIA_Pedro_TEMPEL_09_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:174","Wenn du in die Gemeinschaft Innos' aufgenommen werden willst, musst du die Regeln des Klosters kennen und befolgen.","如 果 你 想 要 加 入 英 诺 斯 的 兄 弟 会 ， 你 必 须 学 会 并 遵 守 修 道 院 的 规 定 。","","False","DIA_Pedro_TEMPEL_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:177","Außerdem verlangen wir von jedem neuen Novizen die Gaben an Innos.","同 时 ， 我 们 需 要 每 个 新 信 徒 向 英 诺 斯 奉 献 礼 物 。","","False","DIA_ADDON_Pedro_TEMPEL_09_03","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:178","Ein Schaf und 1000 Goldstücke.","一 只 绵 羊 和1000枚 金 币 。","","False","DIA_ADDON_Pedro_TEMPEL_09_04","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:179","Das ist verdammt viel Gold.","那 可 是 一 大 笔 钱 啊。","","False","DIA_Pedro_TEMPEL_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:180","Es ist ein Zeichen dafür, dass du ein neues Leben als Diener Innos' beginnst. Bei deiner Aufnahme werden dir alle deine bisherigen Verfehlungen vergeben.","那 是 你 作 为 英 诺 斯 的 仆 人 获 得 新 生 的 标 志 。 当 你 得 到 认 可 后 ， 你 以 前 所 有 的 罪 都 将 得 到 宽 恕 。","","False","DIA_Pedro_TEMPEL_09_05","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:181","Und bedenke - die Entscheidung, ein Diener Innos' zu sein, kannst du nicht mehr rückgängig machen.","考 虑 好 - 在 成 为 英 诺 斯 的 仆 人 后 ， 你 的 决 定 将 无 法 反 悔 。","","False","DIA_Pedro_TEMPEL_09_06","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:198","Ich habe hier diese Statuette...","我 已 经 得 到 了 这 个 雕 像 … …","","False","DIA_Addon_Pedro_Statuette.description","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:214","Ich hab hier diese Statuette. Ich glaube, sie wird im Kloster vermisst.","我 找 到 了 这 个 雕 像 。 我 想 修 道 院 里 的 人 正 等 着 它 。","","False","DIA_Addon_Pedro_Statuette_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:215","Kann ich jetzt rein?","我 现 在 能 进 来 了 吗 ？","","False","DIA_Addon_Pedro_Statuette_15_01","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:218","Nun, unter diesen wahrlich besonderen Umständen steht es dir frei, Novize zu werden.","嗯 ， 在 这 种 特 殊 情 况 下 ， 你 可 以 免 费 成 为 一 名 新 信 徒 。","","False","DIA_Addon_Pedro_Statuette_09_02","",""
"Scripts/Content/Story/Dialoge/DIA_NOV_600_Pedro.d:226","Ich fürchte, auch mit diesem kostbaren Kleinod kann ich dich nicht einlassen.","恐 怕 即 使 有 这 个 珍 贵 的 宝 石 ， 我 也 不 能 让 你 进 去 。","","False","DIA_Addon_Pedro_Statuette_09_03","",""
