"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/NPC/BAU_4300_Addon_Cavalorn.d:4","Cavalorn","卡瓦隆","","False","Bau_4300_Addon_Cavalorn.name","",""
"Scripts/Content/Story/NPC/BAU_900_Onar.d:4","Onar","接受","","False","BAU_900_Onar.name","",""
"Scripts/Content/Story/NPC/BAU_902_Gunnar.d:4","Gunnar","冈纳","","False","BAU_902_Gunnar.name","",""
"Scripts/Content/Story/NPC/BAU_903_Bodo.d:4","Bodo","","","False","BAU_903_Bodo.name","",""
"Scripts/Content/Story/NPC/BAU_907_Wasili.d:4","Wasili","","","False","BAU_907_Wasili.name","",""
"Scripts/Content/Story/NPC/BAU_908_Hodges.d:4","Hodges","","","False","BAU_908_Hodges.name","",""
"Scripts/Content/Story/NPC/BAU_910_Maria.d:4","Maria","","","False","BAU_910_Maria.name","",""
"Scripts/Content/Story/NPC/BAU_911_Elena.d:4","Elena","","","False","BAU_911_Elena.name","",""
"Scripts/Content/Story/NPC/BAU_912_Pepe.d:4","Pepe","","","False","BAU_912_Pepe.name","",""
"Scripts/Content/Story/NPC/BAU_913_Thekla.d:4","Thekla","","","False","BAU_913_Thekla.name","",""
"Scripts/Content/Story/NPC/BAU_930_Sekob.d:4","Sekob","","","False","BAU_930_Sekob.name","",""
"Scripts/Content/Story/NPC/BAU_931_Till.d:4","Till","","","False","BAU_931_Till.name","",""
"Scripts/Content/Story/NPC/BAU_932_Balthasar.d:4","Balthasar","","","False","BAU_932_Balthasar.name","",""
"Scripts/Content/Story/NPC/BAU_933_Rega.d:4","Rega","","","False","BAU_933_Rega.name","",""
"Scripts/Content/Story/NPC/BAU_934_Babera.d:4","Babera","","","False","BAU_934_Babera.name","",""
"Scripts/Content/Story/NPC/BAU_935_Bronko.d:4","Bronko","","","False","BAU_935_Bronko.name","",""
"Scripts/Content/Story/NPC/BAU_936_Rosi.d:4","Rosi","","","False","BAU_936_Rosi.name","",""
"Scripts/Content/Story/NPC/BAU_940_Akil.d:4","Akil","","","False","BAU_940_Akil.name","",""
"Scripts/Content/Story/NPC/BAU_941_Kati.d:4","Kati","","","False","BAU_941_Kati.name","",""
"Scripts/Content/Story/NPC/BAU_942_Randolph.d:4","Randolph","","","False","BAU_942_Randolph.name","",""
"Scripts/Content/Story/NPC/BAU_944_Ehnim.d:4","Ehnim","","","False","BAU_944_Ehnim.name","",""
"Scripts/Content/Story/NPC/BAU_945_Egill.d:4","Egill","","","False","BAU_945_Egill.name","",""
"Scripts/Content/Story/NPC/BAU_950_Lobart.d:4","Lobart","","","False","BAU_950_Lobart.name","",""
"Scripts/Content/Story/NPC/BAU_951_Hilda.d:4","Hilda","","","False","BAU_951_Hilda.name","",""
"Scripts/Content/Story/NPC/BAU_952_Vino.d:4","Vino","","","False","BAU_952_Vino.name","",""
"Scripts/Content/Story/NPC/BAU_954_Maleth.d:4","Maleth","","","False","BAU_954_Maleth.name","",""
"Scripts/Content/Story/NPC/BAU_960_Bengar.d:4","Bengar","","","False","BAU_960_Bengar.name","",""
"Scripts/Content/Story/NPC/BAU_961_Gaan.d:4","Gaan","","","False","BAU_961_Gaan.name","",""
"Scripts/Content/Story/NPC/BAU_963_Malak.d:4","Malak","","","False","BAU_963_Malak.name","",""
"Scripts/Content/Story/NPC/BAU_964_Bauer.d:4","Bauer","","","False","BAU_964_Bauer.name","",""
"Scripts/Content/Story/NPC/BAU_970_Orlan.d:4","Orlan","","","False","BAU_970_Orlan.name","",""
"Scripts/Content/Story/NPC/BAU_973_Rukhar.d:4","Rukhar","","","False","BAU_973_Rukhar.name","",""
"Scripts/Content/Story/NPC/BAU_980_Sagitta.d:4","Sagitta","","","False","BAU_980_Sagitta.name","",""
"Scripts/Content/Story/NPC/BAU_981_Grom.d:4","Grom","","","False","BAU_981_Grom.name","",""
