"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:36","Ah. Gut, daß du kommst.","啊 。 你 来 了 真 好 。","","False","DIA_Lee_Add_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:37","Was gibt's?","有 什 么 新 鲜 事 吗 ？","","False","DIA_Lee_Add_15_06","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:38","Das hier hab ich in der alten Kapelle gefunden.","我 在 那 个 古 老 的 礼 拜 堂 里 面 找 到 了 这 个 。","","False","DIA_Lee_Add_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:40","Es ist eine magische Rune. Ich glaube, sie teleportiert dich direkt hierhin zum Hof.","它 是 一 个 魔 法 符 咒 。 我 想 它 可 以 把 你 直 接 传 送 回 农 场 这 里 。","","False","DIA_Lee_Add_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:41","Ich dachte, du könntest sie vielleicht gebrauchen.","我 想 你 也 许 能 使 用 它 。","","False","DIA_Lee_Add_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:82","Bist du gekommen, um das Geld für Onar zu bringen?","你 是 来 这 里 把 钱 交 给 欧 纳 尔 的 吗 ？","","False","DIA_Lee_PMSchulden_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:86","Ich hatte dir doch gesagt, du sollst hier keine Dummheiten mehr machen.","我 已 经 告 诉 过 你 别 在 这 里 干 任 何 傻 事 。","","False","DIA_Lee_PMSchulden_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:87","Onar hat mitbekommen, dass du mittlerweile noch mehr auf dem Kerbholz hast.","欧 纳 尔 听 说 你 在 这 期 间 创 了 个 真 正 的 记 录 。","","False","DIA_Lee_PMSchulden_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:90","Dementsprechend will er jetzt mehr Geld.","因 此 ， 他 现 在 想 要 更 多 钱 。","","False","DIA_Lee_PMSchulden_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:91","Wieviel?","多 少 钱 ？","","False","DIA_Lee_PMAdd_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:105","Ich hatte dich für klüger gehalten.","我 以 为 你 会 更 聪 明 点 。","","False","DIA_Lee_PMSchulden_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:110","Dann habe ich gute Nachrichten für dich.","那 么 ， 我 有 个 好 消 息 告 诉 你 。","","False","DIA_Lee_PMSchulden_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:114","Plötzlich gibt es niemanden mehr, der den Mord gesehen hat.","突 然 之 间 ， 曾 看 见 你 杀 人 的 人 一 个 都 不 剩 了 。","","False","DIA_Lee_PMSchulden_04_06","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:120","Keiner der Leute will mehr bezeugen, dich bei einem Diebstahl gesehen zu haben.","现 在 ， 没 有 一 个 人 证 实 曾 看 到 你 偷 窃 。","","False","DIA_Lee_PMSchulden_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:126","Es ist niemand mehr da der GESEHEN hat, wie du einen der Bauern verprügelt hast.","曾 看 见 你 痛 打 某 个 农 民 的 人 一 个 都 不 剩 了 。","","False","DIA_Lee_PMSchulden_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:131","Anscheinend haben sich alle Anklagen gegen dich in Wohlgefallen aufgelöst.","显 然 ， 所 有 针 对 你 的 控 诉 都 已 经 无 影 无 踪 了 。","","False","DIA_Lee_PMSchulden_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:134","Das ist auch 'ne Art, mit solchen Problemen umzugehen.","那 是 一 种 逃 避 这 类 问 题 的 方 式 。","","False","DIA_Lee_PMSchulden_04_10","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:139","Zahlen musst du jedenfalls nichts mehr.","总 之 ， 你 不 再 需 要 偿 付 了 。","","False","DIA_Lee_PMSchulden_04_11","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:140","Pass in Zukunft besser auf.","但 是 以 后 还 得 小 心 行 事 。","","False","DIA_Lee_PMSchulden_04_12","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:148","Damit eins klar ist: Deine Strafe musst du trotzdem in voller Höhe bezahlen.","有 件 事 情 很 明 确 ： 你 仍 然 必 须 全 额 支 付 你 的 罚 款 。","","False","DIA_Lee_PMSchulden_04_13","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:150","Also, was ist?","那 么 ， 怎 么 样 ？","","False","DIA_Lee_PMSchulden_04_14","",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:159","Ich habe nicht genug Gold!","我 还 没 有 足 够 的 金 子 ！","","False","DIA_Lee_PMSchulden.DIA_Lee_PETZMASTER_PayLater","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:160","Wieviel war es nochmal?","再 说 一 次 那 需 要 多 少 钱 ？","","False","DIA_Lee_PMSchulden.DIA_Lee_PMSchulden_HowMuchAgain","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:163","Ich will die Strafe zahlen.","我 想 要 支 付 罚 金 ！","","False","DIA_Lee_PMSchulden.DIA_Lee_PETZMASTER_PayNow","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_SLD_800_Lee.d:170","Wie viel war es noch mal?","再 说 一 次 那 需 要 多 少 钱 ？","","False","DIA_Lee_PMSchulden_HowMuchAgain_15_00","",""
