"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:69","Du bist Fischer?","你 是 一 个 渔 夫 ？","","False","DIA_Addon_Farim_Hallo.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:79","Du bist Fischer?","你 是 一 个 渔 夫 ？","","False","DIA_Addon_Farim_Hallo_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:80","(zynisch) Wie hast du das bloß erraten?","（ 玩 世 不 恭 的 ） 现 在 你 是 怎 么 想 到 那 个 的 ？","","False","DIA_Addon_Farim_Hallo_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:81","Kannst du mich nicht einfach in Ruhe lassen?","你 不 能 走 开 吗 ?","","False","DIA_Addon_Farim_Hallo_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:84","Nimm's mir nicht übel, aber in letzter Zeit bin ich nicht sehr gut auf die Miliz zu sprechen.","别 在 意 ,不 过 我 近 来 一 直 不 喜 欢 民 兵 。","","False","DIA_Addon_Farim_Landstreicher_Add_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:88","Nimm's mir nicht übel, aber in letzter Zeit bin ich nicht so gut drauf. Ärger mit der Miliz...","别 在 意 , 不 过 我 近 来 一 直 不 开 心 .都 是 那 些 民 兵.","","False","DIA_Addon_Farim_Landstreicher_Add_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:101","Ärger mit der Miliz?","和 民 兵 之 间 的 矛 盾 ?","","False","DIA_Addon_Farim_MilizProbs.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:114","Ärger mit der Miliz?","和 民 兵 之 间 的 矛 盾 ?","","False","DIA_Addon_Farim_MilizProbs_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:117","Die Mistkerle kommen ständig her und nehmen sich einfach, was sie wollen.","那 些 混 蛋 们 不 断 来 到 这 里 来 .并 把 他 们 想 要 的 东 西 都 拿 走 .","","False","DIA_Addon_Farim_MilizProbs_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:120","Letzte Woche haben sie meinen gesamten Fang mitgenommen. 'Ist für die gute Sache', haben sie gesagt.","上 周 他 们 拿 走 了 我 所 有 的 东 西 .‘ 这 是 为 了 做 好 事 .’ 他 们 说 。","","False","DIA_Addon_Farim_MilizProbs_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:121","Ich weiß ja, dass jeder sehen muss, wo er bleibt, seit die Bauern ihren Handel eingestellt haben.","我 知 道 自 从 农 民 们 停 止 交 易 之 后 ,每 个 人 都 要 设 法 养 活 他 自 己 .","","False","DIA_Addon_Farim_MilizProbs_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:122","Da kommt es schon mal vor, dass der eine oder andere Kohldampf schieben muss. Kein Wunder, dass sie mir den Fisch vor der Nase wegSCHNAPPEN.","而 且 ， 当 然 ， 有 些 人 的 确 很 饿 。 所 以 他 们 在 我 鼻 子 底 下 偷 鱼 也 不 足 为 奇 。","","False","DIA_Addon_Farim_MilizProbs_11_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:123","Aber wenn das so weiter geht, hab ich nicht mal genug, um mich selbst zu ernähren.","但 是 如 果 他 们 继 续 这 样 做 的 话 ， 我 就 没 有 东 西 养 活 自 己 了 。","","False","DIA_Addon_Farim_MilizProbs_11_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:126","Gib mir all deine Fische.","把 你 所 有 的 鱼 都 给 我 。","","False","DIA_Addon_Farim_MilizProbs.DIA_Addon_Farim_MilizProbs_klauen","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:127","Vielleicht kann ich dir helfen.","也 许 我 能 帮 助 你 。","","False","DIA_Addon_Farim_MilizProbs.DIA_Addon_Farim_MilizProbs_helfen","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:128","Hast du mit den Paladinen schon mal darüber gesprochen?","你 和 圣 骑 士 谈 过 这 些 吗 ？","","False","DIA_Addon_Farim_MilizProbs.DIA_Addon_Farim_MilizProbs_paladine","Info_AddChoice",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:133","Hast du mit den Paladinen schon mal darüber gesprochen?","你 同 圣 骑 士 谈 过 这 些 吗 ？","","False","DIA_Addon_Farim_MilizProbs_paladine_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:134","(lacht) Machst du Witze? Was interessiert das die Kerle, wenn ein armer Schlucker wie ich Probleme mit der Miliz hat?","（ 大 笑 ） 你 在 开 玩 笑 吗 ？ 你 真 的 认 为 他 们 会 对 我 这 样 可 怜 的 家 伙 是 否 与 民 兵 之 间 有 什 么 矛 盾 而 感 兴 趣 吗 ？","","False","DIA_Addon_Farim_MilizProbs_paladine_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:140","Gib mir all deine Fische.","把 你 所 有 的 鱼 都 给 我 。","","False","DIA_Addon_Farim_MilizProbs_klauen_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:141","(böse) Hab ich's doch gewusst. Noch so ein Mistkerl.","（ 愤 怒 的 ） 我 就 知 道 。 那 些 垃 圾 中 的 一 个 。","","False","DIA_Addon_Farim_MilizProbs_klauen_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:146","Da bist du leider zu spät gekommen. Deine Freunde haben schon gestern alles mitgenommen.","恐 怕 你 太 晚 了 。 你 的 朋 友 们 昨 天 来 过 这 里 了 ， 他 们 把 所 有 东 西 都 拿 走 了 。","","False","DIA_Addon_Farim_MilizProbs_klauen_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:149","Tja. Ich glaube, es ist besser, wenn du jetzt gehst.","嗯 。 我 想 你 最 好 马 上 离 开 。","","False","DIA_Addon_Farim_MilizProbs_klauen_11_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:156","Vielleicht kann ich dir helfen.","也 许 我 能 帮 助 你 。","","False","DIA_Addon_Farim_MilizProbs_helfen_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:157","Ich weiß nicht. Du müsstest schon jemanden von der Miliz kennen, der 'nen guten Draht zu den Paladinen hat ...","我 不 知 道 。 我 想 你 一 定 知 道 民 兵 中 有 某 个 人 和 圣 骑 士 有 关 系 。","","False","DIA_Addon_Farim_MilizProbs_helfen_11_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:158","Die Paladine werden mir den Fisch wohl kaum abkaufen.","圣 骑 士 肯 定 不 会 向 我 买 鱼 。","","False","DIA_Addon_Farim_MilizProbs_helfen_11_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:159","Ich werde sehen, was ich tun kann.","我 应 该 看 看 我 能 做 什 么 。","","False","DIA_Addon_Farim_MilizProbs_helfen_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:178","Ich hab die Lösung deiner Milizprobleme.","我 知 道 怎 么 解 决 你 和 民 兵 之 间 的 问 题 。","","False","DIA_Addon_Farim_MartinHelps.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:192","Ich hab die Lösung deiner Milizprobleme.","我 知 道 怎 么 解 决 你 和 民 兵 之 间 的 问 题 。","","False","DIA_Addon_Farim_MartinHelps_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:193","Und wie sieht die aus?","那 要 怎 么 做 ？","","False","DIA_Addon_Farim_MartinHelps_11_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:197","Ich bin einfach zu selten hier, um ständig auf deine Fische aufzupassen.","我 不 是 经 常 来 这 里 ， 没 有 足 够 的 时 间 帮 你 看 鱼 。","","False","DIA_Addon_Farim_MartinHelps_15_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:198","Aber ich habe da jemanden, der das kann.","但 是 我 怎么 知 道 有 谁 可 以 那 样 做 。","","False","DIA_Addon_Farim_MartinHelps_15_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:201","Martin, der Proviantmeister der Paladine, will sich deine Geschichte von der Miliz und deinen Fischen anhören.","马 丁 ， 圣 骑 士 的 补 给 官 员 ， 想 要 听 听 你 和 民 兵 之 间 关 于 鱼 的 问 题 。","","False","DIA_Addon_Farim_MartinHelps_15_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:202","Und du meinst, er kann dafür sorgen, dass mich die anderen der Miliz in Ruhe lassen?","你 认 为 他 能 让 那 些 民 兵 不 要 来 打 扰 我 ？","","False","DIA_Addon_Farim_MartinHelps_11_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:203","Hat er zumindest gesagt.","至 少 他 是 那 么 说 的 。","","False","DIA_Addon_Farim_MartinHelps_15_06","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_VLK_4301_Farim.d:204","Gut. Ich danke dir. Ich kann dir nicht viel geben. Aber warte ...","好 极 了 。 谢 谢 你 。 我 给 不 了 你 很 多 ， 但 是 等 等 … …","","False","DIA_Addon_Farim_MartinHelps_11_07","",""
