"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/System/Menu/Menu_Defines.d:64","Taste ENTF zum Löschen und RETURN zum definieren","按DEL键清空插槽，按RETURN键定义","","False","CTRL_KEYDEF","",""
"Scripts/System/Menu/Menu_Defines.d:65","Gewünschte Taste betätigen.","请按此动作所需要的键。","","False","CTRL_KEYDEF_INFO","",""
"Scripts/System/Menu/Menu_Defines.d:66","nein|ja","不|好的","","False","MENU_NO_YES","",""
"Scripts/System/Menu/Menu_Defines.d:67","aus|an","","","False","MENU_OFF_ON","",""
"Scripts/System/Menu/Menu_Defines.d:68","Zurück","","","False","MENU_BACK","",""
"Scripts/System/Menu/Menu_Log.d:42","Aktuelle\nMissionen","","","False","MENU_ITEM_SEL_MISSIONS_ACT.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:56","Erfüllte\nMissionen","","","False","MENU_ITEM_SEL_MISSIONS_OLD.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:72","Gescheiterte\nMissionen","","","False","MENU_ITEM_SEL_MISSIONS_FAILED.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:88","Allgemeine\nInfos","","","False","MENU_ITEM_SEL_LOG.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:109","Act Missions","","","False","MENU_ITEM_LIST_MISSIONS_ACT.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:129","Old Missions","","","False","MENU_ITEM_LIST_MISSIONS_FAILED.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:149","Old Missions","","","False","MENU_ITEM_LIST_MISSIONS_OLD.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:169","Log","","","False","MENU_ITEM_LIST_LOG.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:192","no content","","","False","MENU_ITEM_CONTENT_VIEWER.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:211","Tag","","","False","MENU_ITEM_DAY_TITLE.text[0]","",""
"Scripts/System/Menu/Menu_Log.d:220","Zeit:","","","False","MENU_ITEM_TIME_TITLE.text[0]","",""
